"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","34035","cannot login with unknown username","Mobile Safari","2026-08-28","passed","2026-08-28","Login - Invalid Credentials","","",""
"","2378","Just Opened section shows recent pulls, or is absent when there are none","Mobile Chrome","2026-08-28","passed","2026-08-28","Packs lobby (DFS-2114)","","",""
"","2628","My Settings no longer renders the Player Limits controls","Mobile Chrome","2026-08-28","passed","2026-08-28","My Settings — Player Limits removed (DFS-1855)","","",""
"","12197","slip persists through hard page reload","Desktop","2026-08-28","passed","2026-08-28","Slip persistence","","",""
"","3464","OS dark appearance resolves to dark","Desktop","2026-08-28","passed","2026-08-28","Dark mode (theme-preference) > system preference (no stored choice)","","",""
"","33299","For You tab renders (empty hero in single-user envs, cards otherwise)","Mobile Safari","2026-08-28","passed","2026-08-28","Tail Feed","","",""
"","4118","user can login with valid username","Desktop","2026-08-28","passed","2026-08-28","Login - Valid Credentials","","",""
"","4334","Groups items under Account, Rewards and Support","Mobile Safari","2026-08-28","passed","2026-08-28","Account Center menu (DFS-1667)","","",""
"","5150","View Leaderboard opens the contest-group leaderboard modal","Mobile Chrome","2026-08-28","passed","2026-08-28","My Entries card redesign — read-only","","",""
"","3173","Verify user data renders correctly","Mobile Chrome","2026-08-28","passed","2026-08-28","My Settings","","",""
"","5544","Verify time period switching updates history data","Mobile Chrome","2026-08-28","passed","2026-08-28","User entries","","",""
"","9926","user can login again after logout","Mobile Safari","2026-08-28","passed","2026-08-28","Login - Logout Flow","","",""
"","2620","the back link returns to the lobby","Mobile Chrome","2026-08-28","passed","2026-08-28","Pack detail (DFS-2114)","","",""
"","39010","Contest creation and validate in entries section","Mobile Safari","2026-08-28","passed","2026-08-28","User Enter Contest","","",""
"","3364","forgot password link navigates to password reset","Mobile Safari","2026-08-28","passed","2026-08-28","Login - Navigation","","",""
"","27526","Freshly placed entry is cancellable with a live countdown, and confirming Cancel Entry removes it from Active and History (refund + hard delete)","Desktop","2026-08-28","passed","2026-08-28","My Entries card redesign — cancel flow","","",""
"","8116","History entry surfaces a Won / Lost / Cancelled result pill","Mobile Safari","2026-08-28","passed","2026-08-28","My Entries card redesign — read-only","","",""
"","3356","OS dark appearance resolves to dark","Mobile Safari","2026-08-28","passed","2026-08-28","Dark mode (theme-preference) > system preference (no stored choice)","","",""
"","3787","no-result, min-length and clear behaviours","Mobile Chrome","2026-08-28","passed","2026-08-28","Feed search data verification","","",""
"","9468","Cancel Entry countdown stays within the 5-minute window","Desktop","2026-08-28","passed","2026-08-28","User entries","","",""
"","8539","View Odds opens the Pack Odds modal (when the pack has odds)","Desktop","2026-08-28","passed","2026-08-28","Pack detail (DFS-2114)","","",""
"","32975","cannot login with both fields empty","Mobile Chrome","2026-08-28","passed","2026-08-28","Login - Invalid Credentials","","",""
"","3051","league selector tabs correspond to leagues present in the API","Mobile Chrome","2026-08-28","passed","2026-08-28","Picks grid data verification","","",""
"","8523","Cancel Entry countdown stays within the 5-minute window","Mobile Safari","2026-08-28","passed","2026-08-28","User entries","","",""
"","3885","Rewards tab routes into /rewards and takes the indicator","Mobile Safari","2026-08-28","passed","2026-08-28","Bottom nav — tab routing & active indicator (DFS-1998)","","",""
"","21368","Logged-in tailer clicks ""Tail this entry"" and submits the same picks","Mobile Chrome","2026-08-28","passed","2026-08-28","Slip sharing & tailing","","",""
"","4220","staff user sees the Packs entry and can open the lobby","Mobile Chrome","2026-08-28","passed","2026-08-28","Packs access (DFS-2146)","","",""
"","5243","Active card shows the entry amount, payout and Insured/All In multiplier","Desktop","2026-08-28","passed","2026-08-28","My Entries card redesign — read-only","","",""
"","8946","an unknown pack id shows the not-found message","Desktop","2026-08-28","passed","2026-08-28","Pack detail (DFS-2114)","","",""
"","4739","Verify entry card expand and collapse","Mobile Safari","2026-08-28","passed","2026-08-28","User entries","","",""
"","33447","cannot login with empty username","Mobile Safari","2026-08-28","passed","2026-08-28","Login - Invalid Credentials","","",""
"","13187","Navigating to last page then switching dropdown resets view and verify data","Mobile Safari","2026-08-28","passed","2026-08-28","User entries","","",""
"","3653","login respects ""next"" query param redirect","Desktop","2026-08-28","passed","2026-08-28","Login - Valid Credentials","","",""
"","11112","renders the Open a Pack catalog with at least one pack tile","Desktop","2026-08-28","passed","2026-08-28","Packs lobby (DFS-2114)","","",""
"","6193","Verify History Summary Data","Desktop","2026-08-28","passed","2026-08-28","User entries","","",""
"","4101","Opens from the burger with title, wallet summary and Deposit CTA","Mobile Safari","2026-08-28","passed","2026-08-28","Account Center menu (DFS-1667)","","",""
"","11409","user can login again after logout","Desktop","2026-08-28","passed","2026-08-28","Login - Logout Flow","","",""
"","3913","active entry cards render the entries-paged API data","Desktop","2026-08-28","passed","2026-08-28","Active entries data verification","","",""
"","33143","cannot login with empty username","Mobile Chrome","2026-08-28","passed","2026-08-28","Login - Invalid Credentials","","",""
"","3584","renders the Open a Pack catalog with at least one pack tile","Mobile Safari","2026-08-28","passed","2026-08-28","Packs lobby (DFS-2114)","","",""
"","6730","Submitting valid credentials in the modal signs the user in","Desktop","2026-08-28","passed","2026-08-28","Desktop login modal (DFS-2467)","","",""
"","57735","Share toggle OFF — newly-placed contest does NOT appear on the You tab","Mobile Safari","2026-08-28","passed","2026-08-28","Tail Feed","","",""
"","3325","unauthenticated user sees Join Now button on home","Desktop","2026-08-28","passed","2026-08-28","Login - Navigation","","",""
"","3808","pack tiles link to a /packs/pack/<id> detail route","Mobile Safari","2026-08-28","passed","2026-08-28","Packs lobby (DFS-2114)","","",""
"","4307","a 'See all' link opens a subcategory listing","Mobile Safari","2026-08-28","passed","2026-08-28","Packs lobby (DFS-2114)","","",""
"","4924","Active card shows the entry amount, payout and Insured/All In multiplier","Mobile Chrome","2026-08-28","passed","2026-08-28","My Entries card redesign — read-only","","",""
"","7272","Verify navigation between Active and History tabs","Mobile Safari","2026-08-28","passed","2026-08-28","User entries","","",""
"","2522","Deep link /account/login renders the form as a modal over the lobby","Desktop","2026-08-28","passed","2026-08-28","Desktop login modal (DFS-2467)","","",""
"","3685","user can login with valid email","Desktop","2026-08-28","passed","2026-08-28","Login - Valid Credentials","","",""
"","5251","Collapsed active card shows the pick-badge preview; expanding hides it","Mobile Safari","2026-08-28","passed","2026-08-28","My Entries card redesign — read-only","","",""
"","2546","Pending Packs row lists 'Open Pack' actions when the user owns open rounds","Mobile Chrome","2026-08-28","skipped","2026-08-28","Packs lobby (DFS-2114)","","",""
"","5059","Share button opens the share-slip modal for shareable entries","Desktop","2026-08-28","skipped","2026-08-28","My Entries card redesign — read-only","","",""
"","3401","unauthenticated user sees Join Now button on home","Mobile Chrome","2026-08-28","passed","2026-08-28","Login - Navigation","","",""
"","7040","Picks Submitted screen exposes the description CTA and opens the editor","Mobile Safari","2026-08-28","skipped","2026-08-28","User Enter Contest","","",""
"","3861","stored ""dark"" preference boots the app dark with the dark logo","Desktop","2026-08-28","passed","2026-08-28","Dark mode (theme-preference)","","",""
"","10840","slip persists through Entries tab round-trip","Desktop","2026-08-28","passed","2026-08-28","Slip persistence","","",""
"","5185","slip persists through Rewards tab round-trip","Mobile Chrome","2026-08-28","passed","2026-08-28","Slip persistence","","",""
"","3947","Primary links render with their destinations","Desktop","2026-08-28","passed","2026-08-28","Desktop top nav (DFS-2467)","","",""
"","34373","error message clears on retry with valid credentials","Desktop","2026-08-28","passed","2026-08-28","Login - Invalid Credentials","","",""
"","6484","View Leaderboard on a history card opens the leaderboard modal with a working FAQ link","Mobile Safari","2026-08-28","passed","2026-08-28","History leaderboard FAQ","","",""
"","75180","Share toggle ON — newly-placed contest appears on You tab and Tail Entry tails it","Desktop","2026-08-28","passed","2026-08-28","Tail Feed","","",""
"","4978","Verify user data renders correctly","Desktop","2026-08-28","passed","2026-08-28","My Settings","","",""
"","7415","View Leaderboard opens the contest-group leaderboard modal","Mobile Safari","2026-08-28","passed","2026-08-28","My Entries card redesign — read-only","","",""
"","12736","Verify Pagination works","Mobile Safari","2026-08-28","passed","2026-08-28","User entries","","",""
"","33050","cannot login with empty password","Desktop","2026-08-28","passed","2026-08-28","Login - Invalid Credentials","","",""
"","10885","slip persists through Rewards tab round-trip","Desktop","2026-08-28","passed","2026-08-28","Slip persistence","","",""
"","8302","logout flow works for logged-in user","Desktop","2026-08-28","passed","2026-08-28","Login - Logout Flow","","",""
"","47574","Share toggle OFF — newly-placed contest does NOT appear on the You tab","Desktop","2026-08-28","passed","2026-08-28","Tail Feed","","",""
"","14261","staff toggle flips the theme, swaps the logo, and persists across reload","Desktop","2026-08-28","passed","2026-08-28","Dark mode (theme-preference)","","",""
"","5923","View Leaderboard opens the contest-group leaderboard modal","Desktop","2026-08-28","passed","2026-08-28","My Entries card redesign — read-only","","",""
"","4611","user is redirected to home after successful login","Mobile Safari","2026-08-28","passed","2026-08-28","Login - Valid Credentials","","",""
"","3608","Gibberish query shows the empty state, clearing restores the grid","Mobile Chrome","2026-08-28","passed","2026-08-28","Home feed search","","",""
"","4724","Verify active tab entry cards are visible","Mobile Safari","2026-08-28","passed","2026-08-28","User entries","","",""
"","4660","Only one tab is active at a time and Home restores","Mobile Safari","2026-08-28","passed","2026-08-28","Bottom nav — tab routing & active indicator (DFS-1998)","","",""
"","2522","match selector lists every API match for the default league","Mobile Chrome","2026-08-28","passed","2026-08-28","Picks grid data verification","","",""
"","3480","Fifth tab (Free2Play or Packs) routes and takes the indicator","Mobile Chrome","2026-08-28","passed","2026-08-28","Bottom nav — tab routing & active indicator (DFS-1998)","","",""
"","4226","searching a team abbreviation shows that team's players","Mobile Safari","2026-08-28","passed","2026-08-28","Feed search data verification","","",""
"","2573","login page is accessible via direct URL navigation","Mobile Chrome","2026-08-28","passed","2026-08-28","Login - Page Rendering","","",""
"","2621","login page renders all expected elements","Desktop","2026-08-28","passed","2026-08-28","Login - Page Rendering","","",""
"","3893","Dedicated chevron toggle expands and collapses the card","Mobile Chrome","2026-08-28","passed","2026-08-28","My Entries card redesign — read-only","","",""
"","6046","History entry surfaces a Won / Lost / Cancelled result pill","Mobile Chrome","2026-08-28","passed","2026-08-28","My Entries card redesign — read-only","","",""
"","27022","Just Opened section shows recent pulls, or is absent when there are none","Desktop","2026-08-28","passed","2026-08-28","Packs lobby (DFS-2114)","","",""
"","5286","Verify active tab displays Entry Amount and Max Payout","Mobile Safari","2026-08-28","passed","2026-08-28","User entries","","",""
"","3063","Opens from the burger with title, wallet summary and Deposit CTA","Mobile Chrome","2026-08-28","passed","2026-08-28","Account Center menu (DFS-1667)","","",""
"","32966","cannot login with empty username","Desktop","2026-08-28","passed","2026-08-28","Login - Invalid Credentials","","",""
"","4871","Collapsed active card shows the pick-badge preview; expanding hides it","Desktop","2026-08-28","passed","2026-08-28","My Entries card redesign — read-only","","",""
"","4100","Home footer shows the 18+ age badge and no 21+ anywhere","Desktop","2026-08-28","passed","2026-08-28","Footer age badge — 18+ (UI Release 32)","","",""
"","3869","match selector lists every API match for the default league","Mobile Safari","2026-08-28","passed","2026-08-28","Picks grid data verification","","",""
"","4555","Verify active tab entry cards are visible","Mobile Chrome","2026-08-28","passed","2026-08-28","User entries","","",""
"","3686","toggle visibility matches the staff gate for the logged-in user","Mobile Safari","2026-08-28","passed","2026-08-28","Dark mode (theme-preference)","","",""
"","5612","user is redirected to home after successful login","Desktop","2026-08-28","passed","2026-08-28","Login - Valid Credentials","","",""
"","122416","Five player contest Submission","Mobile Chrome","2026-08-28","broken","2026-08-28","User Enter Contest","","",""
"","11120","a 'See all' link opens a subcategory listing","Desktop","2026-08-28","passed","2026-08-28","Packs lobby (DFS-2114)","","",""
"","3654","history cards and summary render the history API data","Mobile Safari","2026-08-28","passed","2026-08-28","History entries data verification","","",""
"","2628","renders the Open a Pack catalog with at least one pack tile","Mobile Chrome","2026-08-28","passed","2026-08-28","Packs lobby (DFS-2114)","","",""
"","2910","Rewards tab routes into /rewards and takes the indicator","Mobile Chrome","2026-08-28","passed","2026-08-28","Bottom nav — tab routing & active indicator (DFS-1998)","","",""
"","6937","History cards never render the pick-badge preview","Desktop","2026-08-28","passed","2026-08-28","My Entries card redesign — read-only","","",""
"","609","no-result, min-length and clear behaviours","Desktop","2026-08-28","skipped","2026-08-28","Feed search data verification","","",""
"","24011","Logged-out tailer signs in via the tail link, then auto-tails and submits","Mobile Safari","2026-08-28","passed","2026-08-28","Slip sharing & tailing","","",""
"","19930","Five player contest Submission","Desktop","2026-08-28","passed","2026-08-28","User Enter Contest","","",""
"","32837","For You tab renders (empty hero in single-user envs, cards otherwise)","Desktop","2026-08-28","passed","2026-08-28","Tail Feed","","",""
"","2783","toggle visibility matches the staff gate for the logged-in user","Mobile Chrome","2026-08-28","passed","2026-08-28","Dark mode (theme-preference)","","",""
"","4523","Fifth tab (Free2Play or Packs) routes and takes the indicator","Mobile Safari","2026-08-28","passed","2026-08-28","Bottom nav — tab routing & active indicator (DFS-1998)","","",""
"","9","Contest creation and validate in entries section","Desktop","2026-08-28","skipped","2026-08-28","User Enter Contest","","",""
"","3641","stored ""dark"" preference boots the app dark with the dark logo","Mobile Safari","2026-08-28","passed","2026-08-28","Dark mode (theme-preference)","","",""
"","2267","login page renders correctly in dark mode","Mobile Chrome","2026-08-28","passed","2026-08-28","Dark mode (theme-preference)","","",""
"","3168","searching an API player's full name shows exactly matching cards","Mobile Chrome","2026-08-28","passed","2026-08-28","Feed search data verification","","",""
"","32264","For You tab renders (empty hero in single-user envs, cards otherwise)","Mobile Chrome","2026-08-28","passed","2026-08-28","Tail Feed","","",""
"","3459","stored ""light"" preference boots the app light with the light logo","Desktop","2026-08-28","passed","2026-08-28","Dark mode (theme-preference)","","",""
"","5860","Dedicated chevron toggle expands and collapses the card","Mobile Safari","2026-08-28","passed","2026-08-28","My Entries card redesign — read-only","","",""
"","14","Submit contest and verify entry amount and max payout getting updated","Desktop","2026-08-28","skipped","2026-08-28","User Enter Contest","","",""
"","3861","Home footer shows the 18+ age badge and no 21+ anywhere","Mobile Safari","2026-08-28","passed","2026-08-28","Footer age badge — 18+ (UI Release 32)","","",""
"","7472","Cancel Entry countdown stays within the 5-minute window","Mobile Chrome","2026-08-28","passed","2026-08-28","User entries","","",""
"","11729","player cards render the offering API data","Desktop","2026-08-28","passed","2026-08-28","Picks grid data verification","","",""
"","5773","no-result, min-length and clear behaviours","Mobile Safari","2026-08-28","passed","2026-08-28","Feed search data verification","","",""
"","5028","Buy launches the Repackz opening iframe with a close bar","Mobile Safari","2026-08-28","passed","2026-08-28","Pack opening iframe (DFS-2087 / DFS-2169)","","",""
"","5196","Tailers pill reads ""<n> tailers | $<reward>"" when an entry has tailers","Mobile Safari","2026-08-28","skipped","2026-08-28","My Entries card redesign — read-only","","",""
"","26159","Confirming cancel twice fires the cancel request only once (double-submit guard)","Desktop","2026-08-28","passed","2026-08-28","My Entries card redesign — cancel flow","","",""
"","5079","an unknown pack id shows the not-found message","Mobile Safari","2026-08-28","passed","2026-08-28","Pack detail (DFS-2114)","","",""
"","6429","Verify History Summary Data","Mobile Chrome","2026-08-28","passed","2026-08-28","User entries","","",""
"","24025","Buy launches the Repackz opening iframe with a close bar","Desktop","2026-08-28","passed","2026-08-28","Pack opening iframe (DFS-2087 / DFS-2169)","","",""
"","6247","Verify history entry card details match API data","Desktop","2026-08-28","passed","2026-08-28","User entries","","",""
"","7898","Verify History Summary Data","Mobile Safari","2026-08-28","passed","2026-08-28","User entries","","",""
"","3836","Typing a term narrows the grid without dropping below the results","Mobile Safari","2026-08-28","passed","2026-08-28","Home feed search","","",""
"","33178","Following tab shows the empty state (single user, no follows)","Mobile Chrome","2026-08-28","passed","2026-08-28","Tail Feed","","",""
"","2844","Typing a term narrows the grid without dropping below the results","Mobile Chrome","2026-08-28","passed","2026-08-28","Home feed search","","",""
"","46028","Share toggle ON — newly-placed contest appears on You tab and Tail Entry tails it","Mobile Safari","2026-08-28","passed","2026-08-28","Tail Feed","","",""
"","4258","login respects ""next"" query param redirect","Mobile Safari","2026-08-28","passed","2026-08-28","Login - Valid Credentials","","",""
"","6288","Verify history entry card details match API data","Mobile Safari","2026-08-28","passed","2026-08-28","User entries","","",""
"","3886","Feed tab routes to /challenges/feed and takes the indicator","Mobile Safari","2026-08-28","passed","2026-08-28","Bottom nav — tab routing & active indicator (DFS-1998)","","",""
"","3407","Verify active tab displays Entry Amount and Max Payout","Mobile Chrome","2026-08-28","passed","2026-08-28","User entries","","",""
"","4318","Navigating via a menu item closes the dropdown and routes","Desktop","2026-08-28","passed","2026-08-28","Desktop account dropdown (DFS-2467)","","",""
"","4640","View Leaderboard on a history card opens the leaderboard modal with a working FAQ link","Mobile Chrome","2026-08-28","passed","2026-08-28","History leaderboard FAQ","","",""
"","9098","slip persists through hard page reload","Mobile Safari","2026-08-28","passed","2026-08-28","Slip persistence","","",""
"","13775","the back link returns to the lobby","Desktop","2026-08-28","passed","2026-08-28","Pack detail (DFS-2114)","","",""
"","2701","stats selector tabs equal the API stat names for the default league","Mobile Chrome","2026-08-28","passed","2026-08-28","Picks grid data verification","","",""
"","2681","shows the pack name, Buy CTA and a back link","Mobile Chrome","2026-08-28","passed","2026-08-28","Pack detail (DFS-2114)","","",""
"","4762","Verify user data renders correctly","Mobile Safari","2026-08-28","passed","2026-08-28","My Settings","","",""
"","2846","a 'See all' link opens a subcategory listing","Mobile Chrome","2026-08-28","passed","2026-08-28","Packs lobby (DFS-2114)","","",""
"","10692","Navigating to last page then switching dropdown resets view and verify data","Mobile Chrome","2026-08-28","passed","2026-08-28","User entries","","",""
"","33357","Following tab shows the empty state (single user, no follows)","Mobile Safari","2026-08-28","passed","2026-08-28","Tail Feed","","",""
"","5786","Verify entry card expand and collapse","Desktop","2026-08-28","passed","2026-08-28","User entries","","",""
"","11158","Five player contest Submission","Mobile Safari","2026-08-28","passed","2026-08-28","User Enter Contest","","",""
"","33557","cannot login with invalid password","Mobile Safari","2026-08-28","passed","2026-08-28","Login - Invalid Credentials","","",""
"","5070","search auto-switches the stat tab to one the searched player offers","Mobile Safari","2026-08-28","passed","2026-08-28","Feed search data verification","","",""
"","608","searching an API player's full name shows exactly matching cards","Desktop","2026-08-28","skipped","2026-08-28","Feed search data verification","","",""
"","5305","Live entries surface a Live indicator","Mobile Safari","2026-08-28","skipped","2026-08-28","My Entries card redesign — read-only","","",""
"","2566","login page is accessible via direct URL navigation","Desktop","2026-08-28","passed","2026-08-28","Login - Page Rendering","","",""
"","4879","Verify FG stats selection","Mobile Safari","2026-08-28","passed","2026-08-28","FG Stats","","",""
"","5444","Live entries surface a Live indicator","Desktop","2026-08-28","skipped","2026-08-28","My Entries card redesign — read-only","","",""
"","3064","View Odds opens the Pack Odds modal (when the pack has odds)","Mobile Chrome","2026-08-28","passed","2026-08-28","Pack detail (DFS-2114)","","",""
"","10475","Verify user limit modal","Mobile Chrome","2026-08-28","passed","2026-08-28","User limit modal","","",""
"","5720","Share button opens the share-slip modal for shareable entries","Mobile Safari","2026-08-28","skipped","2026-08-28","My Entries card redesign — read-only","","",""
"","3205","searching a team abbreviation shows that team's players","Mobile Chrome","2026-08-28","passed","2026-08-28","Feed search data verification","","",""
"","4734","Top-nav Login button opens the modal in place, without navigation","Desktop","2026-08-28","passed","2026-08-28","Desktop login modal (DFS-2467)","","",""
"","435","switching stat tabs renders that stat's API line on every card","Desktop","2026-08-28","skipped","2026-08-28","Picks grid data verification","","",""
"","3701","the quantity stepper is correctly bounded","Mobile Safari","2026-08-28","skipped","2026-08-28","Pack detail (DFS-2114)","","",""
"","4168","shows the pack name, Buy CTA and a back link","Mobile Safari","2026-08-28","passed","2026-08-28","Pack detail (DFS-2114)","","",""
"","32861","Following tab shows the empty state (single user, no follows)","Desktop","2026-08-28","passed","2026-08-28","Tail Feed","","",""
"","3348","forgot password link navigates to password reset","Desktop","2026-08-28","passed","2026-08-28","Login - Navigation","","",""
"","35012","cannot login with empty password","Mobile Safari","2026-08-28","passed","2026-08-28","Login - Invalid Credentials","","",""
"","15559","Confirming cancel twice fires the cancel request only once (double-submit guard)","Mobile Safari","2026-08-28","passed","2026-08-28","My Entries card redesign — cancel flow","","",""
"","4548","Shows the Deposit CTA and the Account/Rewards/Support groups","Desktop","2026-08-28","passed","2026-08-28","Desktop account dropdown (DFS-2467)","","",""
"","2136","password field masks input","Desktop","2026-08-28","passed","2026-08-28","Login - Page Rendering","","",""
"","8214","slip persists through Rewards tab round-trip","Mobile Safari","2026-08-28","passed","2026-08-28","Slip persistence","","",""
"","5423","Verify navigation between Active and History tabs","Desktop","2026-08-28","passed","2026-08-28","User entries","","",""
"","7308","slip persists through hard page reload","Mobile Chrome","2026-08-28","passed","2026-08-28","Slip persistence","","",""
"","3761","history cards and summary render the history API data","Desktop","2026-08-28","passed","2026-08-28","History entries data verification","","",""
"","2343","password field masks input","Mobile Chrome","2026-08-28","passed","2026-08-28","Login - Page Rendering","","",""
"","9224","user can login again after logout","Mobile Chrome","2026-08-28","passed","2026-08-28","Login - Logout Flow","","",""
"","4030","Share button opens the share-slip modal for shareable entries","Mobile Chrome","2026-08-28","skipped","2026-08-28","My Entries card redesign — read-only","","",""
"","5059","Verify active tab entry cards are visible","Desktop","2026-08-28","passed","2026-08-28","User entries","","",""
"","9","Submit contest and verify entry amount and max payout getting updated","Mobile Chrome","2026-08-28","skipped","2026-08-28","User Enter Contest","","",""
"","300950","the close bar dismisses the iframe and restores the page","Mobile Chrome","2026-08-28","broken","2026-08-28","Pack opening iframe (DFS-2087 / DFS-2169)","","",""
"","4191","Menu items link to the same destinations as the mobile Account Center","Desktop","2026-08-28","passed","2026-08-28","Desktop account dropdown (DFS-2467)","","",""
"","5167","user is redirected to home after successful login","Mobile Chrome","2026-08-28","passed","2026-08-28","Login - Valid Credentials","","",""
"","2387","login page renders correctly in dark mode","Desktop","2026-08-28","passed","2026-08-28","Dark mode (theme-preference)","","",""
"","7839","slip persists through Entries tab round-trip","Mobile Safari","2026-08-28","passed","2026-08-28","Slip persistence","","",""
"","12584","Verify user limit modal","Mobile Safari","2026-08-28","passed","2026-08-28","User limit modal","","",""
"","113584","Picks Submitted screen exposes the description CTA and opens the editor","Desktop","2026-08-28","failed","2026-08-28","User Enter Contest","contests/user-enter-contest.spec.ts","",""
"","4908","Dedicated chevron toggle expands and collapses the card","Desktop","2026-08-28","passed","2026-08-28","My Entries card redesign — read-only","","",""
"","6926","player cards render the offering API data","Mobile Safari","2026-08-28","passed","2026-08-28","Picks grid data verification","","",""
"","6346","History entry surfaces a Won / Lost / Cancelled result pill","Desktop","2026-08-28","passed","2026-08-28","My Entries card redesign — read-only","","",""
"","3249","league selector tabs correspond to leagues present in the API","Mobile Safari","2026-08-28","passed","2026-08-28","Picks grid data verification","","",""
"","3112","Only one tab is active at a time and Home restores","Mobile Chrome","2026-08-28","passed","2026-08-28","Bottom nav — tab routing & active indicator (DFS-1998)","","",""
"","68812","Share toggle OFF — newly-placed contest does NOT appear on the You tab","Mobile Chrome","2026-08-28","failed","2026-08-28","Tail Feed","","",""
"","2808","Home footer shows the 18+ age badge and no 21+ anywhere","Mobile Chrome","2026-08-28","passed","2026-08-28","Footer age badge — 18+ (UI Release 32)","","",""
"","19313","Submit multiple contests back to back","Mobile Safari","2026-08-28","passed","2026-08-28","User Enter Contest","","",""
"","3102","Feed tab routes to /challenges/feed and takes the indicator","Mobile Chrome","2026-08-28","passed","2026-08-28","Bottom nav — tab routing & active indicator (DFS-1998)","","",""
"","18711","Freshly placed entry is cancellable with a live countdown, and confirming Cancel Entry removes it from Active and History (refund + hard delete)","Mobile Safari","2026-08-28","passed","2026-08-28","My Entries card redesign — cancel flow","","",""
"","25834","Verify Pagination works","Mobile Chrome","2026-08-28","passed","2026-08-28","User entries","","",""
"","2722","login page renders correctly in dark mode","Mobile Safari","2026-08-28","passed","2026-08-28","Dark mode (theme-preference)","","",""
"","26586","Logged-out tailer signs in via the tail link, then auto-tails and submits","Desktop","2026-08-28","passed","2026-08-28","Slip sharing & tailing","","",""
"","5401","slip persists through Entries tab round-trip","Mobile Chrome","2026-08-28","passed","2026-08-28","Slip persistence","","",""
