"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5730","user can login with valid email","Mobile Safari","2026-05-29","passed","2026-05-29","Login - Valid Credentials","","",""
"","8606","Verify active tab entry cards are visible","Mobile Safari","2026-05-29","passed","2026-05-29","User entries","","",""
"","8882","user is redirected to home after successful login","Mobile Chrome","2026-05-29","passed","2026-05-29","Login - Valid Credentials","","",""
"","33159","cannot login with empty username","Mobile Safari","2026-05-29","passed","2026-05-29","Login - Invalid Credentials","","",""
"","4923","Verify history entry card details match API data","Mobile Chrome","2026-05-29","passed","2026-05-29","User entries","","",""
"","3995","Verify user data renders correctly","Mobile Chrome","2026-05-29","passed","2026-05-29","My Settings","","",""
"","6951","Verify history entry card details match API data","Mobile Safari","2026-05-29","passed","2026-05-29","User entries","","",""
"","10959","Verify user can update the daily entry limits","Mobile Safari","2026-05-29","passed","2026-05-29","My Settings","","",""
"","6183","user is redirected to home after successful login","Mobile Safari","2026-05-29","passed","2026-05-29","Login - Valid Credentials","","",""
"","25210","Navigating to last page then switching dropdown resets view and verify data","Mobile Chrome","2026-05-29","passed","2026-05-29","User entries","","",""
"","2758","Verify FG stats selection","Mobile Chrome","2026-05-29","passed","2026-05-29","FG Stats","","",""
"","11447","slip persists through Entries tab round-trip","Mobile Safari","2026-05-29","passed","2026-05-29","Slip persistence","","",""
"","48157","cannot login with both fields empty","Mobile Chrome","2026-05-29","failed","2026-05-29","Login - Invalid Credentials","","",""
"","13572","Submit contest and verify entry amount and max payout getting updated","Mobile Chrome","2026-05-29","passed","2026-05-29","User Enter Contest","","",""
"","9840","Five player contest Submission @smoke","Mobile Chrome","2026-05-29","passed","2026-05-29","User Enter Contest","","",""
"","35618","logout flow works for logged-in user","Mobile Chrome","2026-05-29","passed","2026-05-29","Login - Logout Flow","","",""
"","34827","error message clears on retry with valid credentials","Mobile Chrome","2026-05-29","passed","2026-05-29","Login - Invalid Credentials","","",""
"","4396","login page renders all expected elements","Mobile Safari","2026-05-29","passed","2026-05-29","Login - Page Rendering","","",""
"","39992","Share toggle ON — newly-placed contest appears on You tab and Tail Entry tails it","Mobile Safari","2026-05-29","passed","2026-05-29","Tail Feed","","",""
"","10744","Verify History Summary Data","Mobile Safari","2026-05-29","passed","2026-05-29","User entries","","",""
"","36982","Logged-out tailer signs in via the tail link, then auto-tails and submits","Mobile Safari","2026-05-29","passed","2026-05-29","Slip sharing & tailing","","",""
"","32886","Following tab shows the empty state (single user, no follows)","Mobile Safari","2026-05-29","passed","2026-05-29","Tail Feed","","",""
"","32940","For You tab renders (empty hero in single-user envs, cards otherwise)","Mobile Safari","2026-05-29","passed","2026-05-29","Tail Feed","","",""
"","6144","Verify navigation between Active and History tabs","Mobile Safari","2026-05-29","passed","2026-05-29","User entries","","",""
"","2192","password field masks input","Mobile Chrome","2026-05-29","passed","2026-05-29","Login - Page Rendering","","",""
"","38092","Contest creation and validate in entries section","Mobile Safari","2026-05-29","passed","2026-05-29","User Enter Contest","","",""
"","35225","error message clears on retry with valid credentials","Mobile Safari","2026-05-29","passed","2026-05-29","Login - Invalid Credentials","","",""
"","7890","slip persists through Entries tab round-trip","Mobile Chrome","2026-05-29","passed","2026-05-29","Slip persistence","","",""
"","7019","slip persists through Rewards tab round-trip","Mobile Chrome","2026-05-29","passed","2026-05-29","Slip persistence","","",""
"","74979","Submit multiple contests back to back","Mobile Safari","2026-05-29","passed","2026-05-29","User Enter Contest","","",""
"","38524","For You tab renders (empty hero in single-user envs, cards otherwise)","Mobile Chrome","2026-05-29","passed","2026-05-29","Tail Feed","","",""
"","3535","user can login with valid email","Mobile Chrome","2026-05-29","passed","2026-05-29","Login - Valid Credentials","","",""
"","6249","Verify Contest Entry Using promo from Promotions Tab","Mobile Chrome","2026-05-29","passed","2026-05-29","Promo Contest Entry","","",""
"","36218","logout flow works for logged-in user","Mobile Safari","2026-05-29","passed","2026-05-29","Login - Logout Flow","","",""
"","2304","login page renders all expected elements","Mobile Chrome","2026-05-29","passed","2026-05-29","Login - Page Rendering","","",""
"","195790","Verify user limit modal","Mobile Safari","2026-05-29","passed","2026-05-29","User limit modal","","",""
"","3249","Verify FG stats selection","Mobile Safari","2026-05-29","passed","2026-05-29","FG Stats","","",""
"","35568","cannot login with invalid password","Mobile Safari","2026-05-29","passed","2026-05-29","Login - Invalid Credentials","","",""
"","5108","login respects ""next"" query param redirect","Mobile Chrome","2026-05-29","passed","2026-05-29","Login - Valid Credentials","","",""
"","194587","Verify user limit modal","Mobile Chrome","2026-05-29","passed","2026-05-29","User limit modal","","",""
"","2167","login page is accessible via direct URL navigation","Mobile Chrome","2026-05-29","passed","2026-05-29","Login - Page Rendering","","",""
"","12291","Verify Contest Entry Using promo from Promotions Tab","Mobile Safari","2026-05-29","passed","2026-05-29","Promo Contest Entry","","",""
"","24127","Logged-out tailer signs in via the tail link, then auto-tails and submits","Mobile Chrome","2026-05-29","passed","2026-05-29","Slip sharing & tailing","","",""
"","16084","Share toggle ON — newly-placed contest appears on You tab and Tail Entry tails it","Mobile Chrome","2026-05-29","passed","2026-05-29","Tail Feed","","",""
"","32937","Following tab shows the empty state (single user, no follows)","Mobile Chrome","2026-05-29","passed","2026-05-29","Tail Feed","","",""
"","33135","cannot login with unknown username","Mobile Chrome","2026-05-29","passed","2026-05-29","Login - Invalid Credentials","","",""
"","50692","Verify Pagination works","Mobile Safari","2026-05-29","passed","2026-05-29","User entries","","",""
"","6566","Verify time period switching updates history data","Mobile Chrome","2026-05-29","passed","2026-05-29","User entries","","",""
"","10933","slip persists through Rewards tab round-trip","Mobile Safari","2026-05-29","passed","2026-05-29","Slip persistence","","",""
"","8349","Verify entry card expand and collapse","Mobile Safari","2026-05-29","passed","2026-05-29","User entries","","",""
"","6416","Verify active tab displays Entry Amount and Max Payout","Mobile Safari","2026-05-29","passed","2026-05-29","User entries","","",""
"","48731","cannot login with both fields empty","Mobile Safari","2026-05-29","failed","2026-05-29","Login - Invalid Credentials","","",""
"","4175","login page is accessible via direct URL navigation","Mobile Safari","2026-05-29","passed","2026-05-29","Login - Page Rendering","","",""
"","44994","Logged-in tailer clicks ""Tail this entry"" and submits the same picks","Mobile Chrome","2026-05-29","passed","2026-05-29","Slip sharing & tailing","","",""
"","5824","Verify navigation between Active and History tabs","Mobile Chrome","2026-05-29","passed","2026-05-29","User entries","","",""
"","14655","Five player contest Submission @smoke","Mobile Safari","2026-05-29","passed","2026-05-29","User Enter Contest","","",""
"","30995","Navigating to last page then switching dropdown resets view and verify data","Mobile Safari","2026-05-29","passed","2026-05-29","User entries","","",""
"","37960","Logged-in tailer clicks ""Tail this entry"" and submits the same picks","Mobile Safari","2026-05-29","passed","2026-05-29","Slip sharing & tailing","","",""
"","50058","cannot login with empty password","Mobile Safari","2026-05-29","failed","2026-05-29","Login - Invalid Credentials","","",""
"","3222","password field masks input","Mobile Safari","2026-05-29","passed","2026-05-29","Login - Page Rendering","","",""
"","5731","user can login with valid username","Mobile Safari","2026-05-29","passed","2026-05-29","Login - Valid Credentials","","",""
"","28239","Submit multiple contests back to back","Mobile Chrome","2026-05-29","passed","2026-05-29","User Enter Contest","","",""
"","2571","login respects ""next"" query param redirect","Mobile Safari","2026-05-29","passed","2026-05-29","Login - Valid Credentials","","",""
