"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","131974","user can login with valid username","Desktop","2026-08-14","passed","2026-08-14","Login - Valid Credentials","","",""
"","9520","Contest creation and validate in entries section","Mobile Chrome","2026-08-14","passed","2026-08-14","User Enter Contest","","",""
"","19058","login page renders all expected elements","Desktop","2026-08-14","failed","2026-08-14","Login - Page Rendering","","",""
"","4174","shows the pack name, Buy CTA and a back link","Mobile Safari","2026-08-14","passed","2026-08-14","Pack detail (DFS-2114)","","",""
"","2","Share toggle ON — newly-placed contest appears on You tab and Tail Entry tails it","Mobile Safari","2026-08-14","skipped","2026-08-14","Tail Feed","","",""
"","8040","slip persists through Entries tab round-trip","Mobile Safari","2026-08-14","passed","2026-08-14","Slip persistence","","",""
"","6","buy a pack, RIP it, then redeem and ship the pulled card","Mobile Chrome","2026-08-14","skipped","2026-08-14","Packs provider flow (money-moving)","","",""
"","32640","Verify active tab entry cards are visible","Desktop","2026-08-14","failed","2026-08-14","User entries","","",""
"","2","error message clears on retry with valid credentials","Mobile Chrome","2026-08-14","skipped","2026-08-14","Login - Invalid Credentials","","",""
"","0","Submit multiple contests back to back","Mobile Chrome","2026-08-14","skipped","2026-08-14","User Enter Contest","","",""
"","5276","Share button opens the share-slip modal for shareable entries","Mobile Chrome","2026-08-14","passed","2026-08-14","My Entries card redesign — read-only","","",""
"","23424","Verify history entry card details match API data","Mobile Safari","2026-08-14","failed","2026-08-14","User entries","","",""
"","38226","Freshly placed entry is cancellable with a live countdown, and confirming Cancel Entry moves it to History as Cancelled","Mobile Chrome","2026-08-14","failed","2026-08-14","My Entries card redesign — cancel flow","","",""
"","45380","stats selector tabs equal the API stat names for the default league","Desktop","2026-08-14","failed","2026-08-14","Picks grid data verification","","",""
"","1","buy a pack, RIP it, then redeem and ship the pulled card","Desktop","2026-08-14","skipped","2026-08-14","Packs provider flow (money-moving)","","",""
"","33032","Partner Rewards is the default tab, alongside a Promotions tab","Desktop","2026-08-14","failed","2026-08-14","Partner Rewards (DFS-1602 / DFS-1604)","","",""
"","33432","Logged-out tailer signs in via the tail link, then auto-tails and submits","Desktop","2026-08-14","failed","2026-08-14","Slip sharing & tailing","","",""
"","130003","user can login with valid email","Desktop","2026-08-14","passed","2026-08-14","Login - Valid Credentials","","",""
"","3160","Pending Packs row lists 'Open Pack' actions when the user owns open rounds","Mobile Chrome","2026-08-14","skipped","2026-08-14","Packs lobby (DFS-2114)","","",""
"","5730","user is redirected to home after successful login","Mobile Chrome","2026-08-14","passed","2026-08-14","Login - Valid Credentials","","",""
"","4929","Cancel Entry countdown stays within the 5-minute window","Mobile Safari","2026-08-14","passed","2026-08-14","User entries","","",""
"","18086","logout flow works for logged-in user","Desktop","2026-08-14","failed","2026-08-14","Login - Logout Flow","","",""
"","33314","Shows partner offer cards, or the empty state when none are available","Desktop","2026-08-14","failed","2026-08-14","Partner Rewards (DFS-1602 / DFS-1604)","","",""
"","32578","Verify history entry card details match API data","Desktop","2026-08-14","failed","2026-08-14","User entries","","",""
"","34865","Following tab shows the empty state (single user, no follows)","Mobile Safari","2026-08-14","passed","2026-08-14","Tail Feed","","",""
"","33461","Verify user data renders correctly","Desktop","2026-08-14","failed","2026-08-14","My Settings","","",""
"","5778","slip persists through Rewards tab round-trip","Mobile Chrome","2026-08-14","passed","2026-08-14","Slip persistence","","",""
"","4402","Verify active tab entry cards are visible","Mobile Chrome","2026-08-14","passed","2026-08-14","User entries","","",""
"","5949","the close bar dismisses the iframe and restores the page","Mobile Chrome","2026-08-14","passed","2026-08-14","Pack opening iframe (DFS-2087 / DFS-2169)","","",""
"","33021","shows the pack name, Buy CTA and a back link","Desktop","2026-08-14","failed","2026-08-14","Pack detail (DFS-2114)","","",""
"","7","cannot login with empty password","Desktop","2026-08-14","skipped","2026-08-14","Login - Invalid Credentials","","",""
"","13045","Picks Submitted screen exposes the description CTA and opens the editor","Mobile Safari","2026-08-14","passed","2026-08-14","User Enter Contest","","",""
"","32642","Cancel Entry countdown stays within the 5-minute window","Desktop","2026-08-14","failed","2026-08-14","User entries","","",""
"","10720","Verify user limit modal","Mobile Chrome","2026-08-14","passed","2026-08-14","User limit modal","","",""
"","10843","user can login again after logout","Mobile Chrome","2026-08-14","passed","2026-08-14","Login - Logout Flow","","",""
"","32512","Collapsed active card shows the pick-badge preview; expanding hides it","Desktop","2026-08-14","failed","2026-08-14","My Entries card redesign — read-only","","",""
"","32557","Verify Pagination works","Desktop","2026-08-14","failed","2026-08-14","User entries","","",""
"","45377","searching an API player's full name shows exactly matching cards","Desktop","2026-08-14","failed","2026-08-14","Feed search data verification","","",""
"","2900","Home footer shows the 18+ age badge and no 21+ anywhere","Mobile Chrome","2026-08-14","passed","2026-08-14","Footer age badge — 18+ (UI Release 32)","","",""
"","8","Submit contest and verify entry amount and max payout getting updated","Desktop","2026-08-14","skipped","2026-08-14","User Enter Contest","","",""
"","8527","History entry surfaces a Won / Lost / Cancelled result pill","Mobile Safari","2026-08-14","passed","2026-08-14","My Entries card redesign — read-only","","",""
"","32983","Feed link routes to the feed and takes the underline","Desktop","2026-08-14","failed","2026-08-14","Desktop top nav (DFS-2467)","","",""
"","3507","Rewards tab routes into /rewards and takes the indicator","Mobile Chrome","2026-08-14","passed","2026-08-14","Bottom nav — tab routing & active indicator (DFS-1998)","","",""
"","4265","match selector lists every API match for the default league","Mobile Safari","2026-08-14","passed","2026-08-14","Picks grid data verification","","",""
"","32847","Menu items link to the same destinations as the mobile Account Center","Desktop","2026-08-14","failed","2026-08-14","Desktop account dropdown (DFS-2467)","","",""
"","19080","login page is accessible via direct URL navigation","Desktop","2026-08-14","failed","2026-08-14","Login - Page Rendering","","",""
"","4886","Typing a term narrows the grid without dropping below the results","Mobile Safari","2026-08-14","passed","2026-08-14","Home feed search","","",""
"","4","cannot login with unknown username","Mobile Chrome","2026-08-14","skipped","2026-08-14","Login - Invalid Credentials","","",""
"","32610","Wallet pill shows the balance and the burger toggles the account dropdown","Desktop","2026-08-14","failed","2026-08-14","Desktop top nav (DFS-2467)","","",""
