"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","53555","cannot login with both fields empty","Mobile Chrome","2026-06-08","failed","2026-06-08","Login - Invalid Credentials","","",""
"","38364","logout flow works for logged-in user","Mobile Safari","2026-06-08","passed","2026-06-08","Login - Logout Flow","","",""
"","16394","Five player contest Submission @smoke","Mobile Chrome","2026-06-08","passed","2026-06-08","User Enter Contest","","",""
"","8317","Verify entry card expand and collapse","Mobile Chrome","2026-06-08","passed","2026-06-08","User entries","","",""
"","20420","Verify navigation between Active and History tabs","Mobile Safari","2026-06-08","passed","2026-06-08","User entries","","",""
"","35631","cannot login with unknown username","Mobile Safari","2026-06-08","passed","2026-06-08","Login - Invalid Credentials","","",""
"","51280","Share toggle ON — newly-placed contest appears on You tab and Tail Entry tails it","Mobile Safari","2026-06-08","passed","2026-06-08","Tail Feed","","",""
"","124686","user can login again after logout","Mobile Safari","2026-06-08","passed","2026-06-08","Login - Logout Flow","","",""
"","38807","Submit multiple contests back to back","Mobile Safari","2026-06-08","passed","2026-06-08","User Enter Contest","","",""
"","5905","Verify FG stats selection","Mobile Safari","2026-06-08","passed","2026-06-08","FG Stats","","",""
"","27007","Share toggle OFF — newly-placed contest does NOT appear on the You tab","Mobile Chrome","2026-06-08","passed","2026-06-08","Tail Feed","","",""
"","35530","cannot login with empty username","Mobile Chrome","2026-06-08","passed","2026-06-08","Login - Invalid Credentials","","",""
"","198496","Verify user limit modal","Mobile Chrome","2026-06-08","passed","2026-06-08","User limit modal","","",""
"","8226","Verify user data renders correctly","Mobile Safari","2026-06-08","passed","2026-06-08","My Settings","","",""
"","9343","Verify History Summary Data","Mobile Chrome","2026-06-08","passed","2026-06-08","User entries","","",""
"","4178","forgot password link navigates to password reset","Mobile Safari","2026-06-08","passed","2026-06-08","Login - Navigation","","",""
"","9935","slip persists through Rewards tab round-trip","Mobile Safari","2026-06-08","passed","2026-06-08","Slip persistence","","",""
"","3513","login respects ""next"" query param redirect","Mobile Safari","2026-06-08","passed","2026-06-08","Login - Valid Credentials","","",""
"","53734","logout flow works for logged-in user","Mobile Chrome","2026-06-08","passed","2026-06-08","Login - Logout Flow","","",""
"","3220","password field masks input","Mobile Safari","2026-06-08","passed","2026-06-08","Login - Page Rendering","","",""
"","4627","Verify FG stats selection","Mobile Chrome","2026-06-08","passed","2026-06-08","FG Stats","","",""
"","51759","cannot login with both fields empty","Mobile Safari","2026-06-08","failed","2026-06-08","Login - Invalid Credentials","","",""
"","34051","Verify Pagination works","Mobile Safari","2026-06-08","passed","2026-06-08","User entries","","",""
"","27145","Logged-out tailer signs in via the tail link, then auto-tails and submits","Mobile Safari","2026-06-08","passed","2026-06-08","Slip sharing & tailing","","",""
"","16331","Five player contest Submission @smoke","Mobile Safari","2026-06-08","passed","2026-06-08","User Enter Contest","","",""
"","8493","Verify Contest Entry Using promo from Promotions Tab","Mobile Safari","2026-06-08","passed","2026-06-08","Promo Contest Entry","","",""
"","7737","Verify active tab displays Entry Amount and Max Payout","Mobile Chrome","2026-06-08","passed","2026-06-08","User entries","","",""
"","30327","Navigating to last page then switching dropdown resets view and verify data","Mobile Safari","2026-06-08","passed","2026-06-08","User entries","","",""
"","50264","Share toggle ON — newly-placed contest appears on You tab and Tail Entry tails it","Mobile Chrome","2026-06-08","passed","2026-06-08","Tail Feed","","",""
"","9969","Verify user can update the daily entry limits","Mobile Safari","2026-06-08","passed","2026-06-08","My Settings","","",""
"","6096","Verify user data renders correctly","Mobile Chrome","2026-06-08","passed","2026-06-08","My Settings","","",""
"","4795","login page renders all expected elements","Mobile Chrome","2026-06-08","passed","2026-06-08","Login - Page Rendering","","",""
"","33420","For You tab renders (empty hero in single-user envs, cards otherwise)","Mobile Safari","2026-06-08","passed","2026-06-08","Tail Feed","","",""
"","4858","unauthenticated user sees Join Now button on home","Mobile Chrome","2026-06-08","passed","2026-06-08","Login - Navigation","","",""
"","9174","slip persists through hard page reload","Mobile Chrome","2026-06-08","passed","2026-06-08","Slip persistence","","",""
"","7139","Verify active tab entry cards are visible","Mobile Chrome","2026-06-08","passed","2026-06-08","User entries","","",""
"","38789","Logged-in tailer clicks ""Tail this entry"" and submits the same picks","Mobile Chrome","2026-06-08","passed","2026-06-08","Slip sharing & tailing","","",""
"","36842","Submit multiple contests back to back","Mobile Chrome","2026-06-08","passed","2026-06-08","User Enter Contest","","",""
"","8065","Verify active tab entry cards are visible","Mobile Safari","2026-06-08","passed","2026-06-08","User entries","","",""
"","7809","Verify history entry card details match API data","Mobile Chrome","2026-06-08","passed","2026-06-08","User entries","","",""
"","6792","user can login with valid email","Mobile Safari","2026-06-08","passed","2026-06-08","Login - Valid Credentials","","",""
"","34103","Contest creation and validate in entries section","Mobile Chrome","2026-06-08","passed","2026-06-08","User Enter Contest","","",""
"","8078","user is redirected to home after successful login","Mobile Chrome","2026-06-08","passed","2026-06-08","Login - Valid Credentials","","",""
"","4593","forgot password link navigates to password reset","Mobile Chrome","2026-06-08","passed","2026-06-08","Login - Navigation","","",""
"","4191","login page renders all expected elements","Mobile Safari","2026-06-08","passed","2026-06-08","Login - Page Rendering","","",""
"","39918","cannot login with unknown username","Mobile Chrome","2026-06-08","passed","2026-06-08","Login - Invalid Credentials","","",""
"","54006","cannot login with invalid password","Mobile Safari","2026-06-08","passed","2026-06-08","Login - Invalid Credentials","","",""
"","11752","slip persists through hard page reload","Mobile Safari","2026-06-08","passed","2026-06-08","Slip persistence","","",""
"","9688","login respects ""next"" query param redirect","Mobile Chrome","2026-06-08","passed","2026-06-08","Login - Valid Credentials","","",""
"","254429","Verify user limit modal","Mobile Safari","2026-06-08","passed","2026-06-08","User limit modal","","",""
"","54390","cannot login with empty password","Mobile Chrome","2026-06-08","failed","2026-06-08","Login - Invalid Credentials","","",""
"","9143","Verify active tab displays Entry Amount and Max Payout","Mobile Safari","2026-06-08","passed","2026-06-08","User entries","","",""
"","7573","Verify Contest Entry Using promo from Promotions Tab","Mobile Chrome","2026-06-08","passed","2026-06-08","Promo Contest Entry","","",""
"","52176","cannot login with empty password","Mobile Safari","2026-06-08","failed","2026-06-08","Login - Invalid Credentials","","",""
"","9865","Verify history entry card details match API data","Mobile Safari","2026-06-08","passed","2026-06-08","User entries","","",""
"","38164","error message clears on retry with valid credentials","Mobile Chrome","2026-06-08","passed","2026-06-08","Login - Invalid Credentials","","",""
"","36690","cannot login with invalid password","Mobile Chrome","2026-06-08","passed","2026-06-08","Login - Invalid Credentials","","",""
"","5729","user can login with valid username","Mobile Chrome","2026-06-08","passed","2026-06-08","Login - Valid Credentials","","",""
"","12122","Verify navigation between Active and History tabs","Mobile Chrome","2026-06-08","passed","2026-06-08","User entries","","",""
"","33246","For You tab renders (empty hero in single-user envs, cards otherwise)","Mobile Chrome","2026-06-08","passed","2026-06-08","Tail Feed","","",""
"","34413","cannot login with empty username","Mobile Safari","2026-06-08","passed","2026-06-08","Login - Invalid Credentials","","",""
"","7711","slip persists through Rewards tab round-trip","Mobile Chrome","2026-06-08","passed","2026-06-08","Slip persistence","","",""
"","7933","slip persists through Entries tab round-trip","Mobile Chrome","2026-06-08","passed","2026-06-08","Slip persistence","","",""
"","9724","Verify History Summary Data","Mobile Safari","2026-06-08","passed","2026-06-08","User entries","","",""
"","7207","user is redirected to home after successful login","Mobile Safari","2026-06-08","passed","2026-06-08","Login - Valid Credentials","","",""
"","10928","Verify user can update the daily entry limits","Mobile Chrome","2026-06-08","passed","2026-06-08","My Settings","","",""
"","53348","Contest creation and validate in entries section","Mobile Safari","2026-06-08","passed","2026-06-08","User Enter Contest","","",""
"","14369","Submit contest and verify entry amount and max payout getting updated","Mobile Safari","2026-06-08","passed","2026-06-08","User Enter Contest","","",""
"","16752","user can login with valid email","Mobile Chrome","2026-06-08","passed","2026-06-08","Login - Valid Credentials","","",""
"","15619","Submit contest and verify entry amount and max payout getting updated","Mobile Chrome","2026-06-08","passed","2026-06-08","User Enter Contest","","",""
"","4386","unauthenticated user sees Join Now button on home","Mobile Safari","2026-06-08","passed","2026-06-08","Login - Navigation","","",""
"","4612","login page is accessible via direct URL navigation","Mobile Chrome","2026-06-08","passed","2026-06-08","Login - Page Rendering","","",""
"","92373","user can login again after logout","Mobile Chrome","2026-06-08","passed","2026-06-08","Login - Logout Flow","","",""
"","27948","Verify Pagination works","Mobile Chrome","2026-06-08","passed","2026-06-08","User entries","","",""
"","39384","error message clears on retry with valid credentials","Mobile Safari","2026-06-08","passed","2026-06-08","Login - Invalid Credentials","","",""
"","44560","Share toggle OFF — newly-placed contest does NOT appear on the You tab","Mobile Safari","2026-06-08","passed","2026-06-08","Tail Feed","","",""
"","5262","login page is accessible via direct URL navigation","Mobile Safari","2026-06-08","passed","2026-06-08","Login - Page Rendering","","",""
"","39811","Following tab shows the empty state (single user, no follows)","Mobile Chrome","2026-06-08","passed","2026-06-08","Tail Feed","","",""
"","12282","Verify time period switching updates history data","Mobile Safari","2026-06-08","passed","2026-06-08","User entries","","",""
"","29285","Logged-out tailer signs in via the tail link, then auto-tails and submits","Mobile Chrome","2026-06-08","passed","2026-06-08","Slip sharing & tailing","","",""
"","28625","Navigating to last page then switching dropdown resets view and verify data","Mobile Chrome","2026-06-08","passed","2026-06-08","User entries","","",""
"","34776","Following tab shows the empty state (single user, no follows)","Mobile Safari","2026-06-08","passed","2026-06-08","Tail Feed","","",""
"","8193","Verify time period switching updates history data","Mobile Chrome","2026-06-08","passed","2026-06-08","User entries","","",""
"","9657","slip persists through Entries tab round-trip","Mobile Safari","2026-06-08","passed","2026-06-08","Slip persistence","","",""
"","14358","Verify entry card expand and collapse","Mobile Safari","2026-06-08","passed","2026-06-08","User entries","","",""
"","4347","password field masks input","Mobile Chrome","2026-06-08","passed","2026-06-08","Login - Page Rendering","","",""
"","40624","Logged-in tailer clicks ""Tail this entry"" and submits the same picks","Mobile Safari","2026-06-08","passed","2026-06-08","Slip sharing & tailing","","",""
"","7614","user can login with valid username","Mobile Safari","2026-06-08","passed","2026-06-08","Login - Valid Credentials","","",""
