"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","36586","error message clears on retry with valid credentials","Mobile Safari","2026-05-22","passed","2026-05-22","Login - Invalid Credentials","","",""
"","5239","Verify FG stats selection","Mobile Chrome","2026-05-21","passed","2026-05-21","FG Stats","","",""
"","33967","cannot login with empty password","Mobile Chrome","2026-05-22","passed","2026-05-22","Login - Invalid Credentials","","",""
"","6287","Verify navigation between Active and History tabs","Mobile Chrome","2026-05-21","passed","2026-05-21","User entries","","",""
"","3546","forgot password link navigates to password reset","Mobile Chrome","2026-05-22","passed","2026-05-22","Login - Navigation","","",""
"","57433","Contest creation and validate in entries section","Mobile Safari","2026-05-21","passed","2026-05-21","User Enter Contest","","",""
"","70119","Submit multiple contests back to back","Mobile Safari","2026-05-21","passed","2026-05-21","User Enter Contest","","",""
"","7974","Verify entry card expand and collapse","Mobile Safari","2026-05-21","passed","2026-05-21","User entries","","",""
"","33836","cannot login with invalid password","Mobile Chrome","2026-05-22","passed","2026-05-22","Login - Invalid Credentials","","",""
"","31426","slip persists through hard page reload","Mobile Safari","2026-05-22","failed","2026-05-22","Slip persistence","","",""
"","7265","Verify history entry card details match API data","Mobile Chrome","2026-05-21","passed","2026-05-21","User entries","","",""
"","36390","cannot login with unknown username","Mobile Safari","2026-05-22","passed","2026-05-22","Login - Invalid Credentials","","",""
"","8796","user is redirected to home after successful login","Mobile Safari","2026-05-22","passed","2026-05-22","Login - Valid Credentials","","",""
"","28417","slip persists through hard page reload","Mobile Chrome","2026-05-22","failed","2026-05-22","Slip persistence","","",""
"","3669","unauthenticated user sees Join Now button on home","Mobile Chrome","2026-05-22","passed","2026-05-22","Login - Navigation","","",""
"","37966","logout flow works for logged-in user","Mobile Chrome","2026-05-22","passed","2026-05-22","Login - Logout Flow","","",""
"","35378","cannot login with invalid password","Mobile Safari","2026-05-22","passed","2026-05-22","Login - Invalid Credentials","","",""
"","31763","Contest creation and validate in entries section","Mobile Chrome","2026-05-22","passed","2026-05-22","User Enter Contest","","",""
"","4213","unauthenticated user sees Join Now button on home","Mobile Safari","2026-05-22","passed","2026-05-22","Login - Navigation","","",""
"","34451","cannot login with empty username","Mobile Chrome","2026-05-22","passed","2026-05-22","Login - Invalid Credentials","","",""
"","35013","cannot login with empty password","Mobile Safari","2026-05-22","passed","2026-05-22","Login - Invalid Credentials","","",""
"","29440","Submit multiple contests back to back","Mobile Chrome","2026-05-22","passed","2026-05-22","User Enter Contest","","",""
"","200879","Verify user limit modal","Mobile Safari","2026-05-21","passed","2026-05-21","User limit modal","","",""
"","3774","login page is accessible via direct URL navigation","Mobile Chrome","2026-05-22","passed","2026-05-22","Login - Page Rendering","","",""
"","36063","Logged-in tailer clicks ""Tail this entry"" and submits the same picks","Mobile Chrome","2026-05-21","passed","2026-05-21","Slip sharing & tailing","","",""
"","9904","Verify FG stats selection","Mobile Safari","2026-05-21","passed","2026-05-21","FG Stats","","",""
"","6567","user can login with valid username","Mobile Safari","2026-05-22","passed","2026-05-22","Login - Valid Credentials","","",""
"","34273","cannot login with empty username","Mobile Safari","2026-05-22","passed","2026-05-22","Login - Invalid Credentials","","",""
"","16870","Submit contest and verify entry amount and max payout getting updated","Mobile Chrome","2026-05-22","passed","2026-05-22","User Enter Contest","","",""
"","42005","user can login again after logout","Mobile Safari","2026-05-22","passed","2026-05-22","Login - Logout Flow","","",""
"","34107","cannot login with both fields empty","Mobile Chrome","2026-05-22","passed","2026-05-22","Login - Invalid Credentials","","",""
"","17446","Verify active tab displays Entry Amount and Max Payout","Mobile Safari","2026-05-21","passed","2026-05-21","User entries","","",""
"","7257","user is redirected to home after successful login","Mobile Chrome","2026-05-22","passed","2026-05-22","Login - Valid Credentials","","",""
"","9460","Five player contest Submission @smoke","Mobile Chrome","2026-05-22","passed","2026-05-22","User Enter Contest","","",""
"","6868","Verify active tab displays Entry Amount and Max Payout","Mobile Chrome","2026-05-21","passed","2026-05-21","User entries","","",""
"","5750","login page renders all expected elements","Mobile Safari","2026-05-22","passed","2026-05-22","Login - Page Rendering","","",""
"","4518","login page is accessible via direct URL navigation","Mobile Safari","2026-05-22","passed","2026-05-22","Login - Page Rendering","","",""
"","11324","slip persists through Entries tab round-trip","Mobile Safari","2026-05-22","passed","2026-05-22","Slip persistence","","",""
"","4254","password field masks input","Mobile Safari","2026-05-22","passed","2026-05-22","Login - Page Rendering","","",""
"","37472","logout flow works for logged-in user","Mobile Safari","2026-05-22","passed","2026-05-22","Login - Logout Flow","","",""
"","25431","Verify Pagination works","Mobile Chrome","2026-05-21","passed","2026-05-21","User entries","","",""
"","3180","login page renders all expected elements","Mobile Chrome","2026-05-22","passed","2026-05-22","Login - Page Rendering","","",""
"","44374","Logged-in tailer clicks ""Tail this entry"" and submits the same picks","Mobile Safari","2026-05-21","passed","2026-05-21","Slip sharing & tailing","","",""
"","10236","Verify History Summary Data","Mobile Safari","2026-05-21","passed","2026-05-21","User entries","","",""
"","102810","slip persists through Entries tab round-trip","Mobile Chrome","2026-05-21","passed","2026-05-21","Slip persistence","","",""
"","6941","user can login with valid email","Mobile Safari","2026-05-22","passed","2026-05-22","Login - Valid Credentials","","",""
"","10594","Verify Contest Entry Using promo from Promotions Tab","Mobile Chrome","2026-05-21","passed","2026-05-21","Promo Contest Entry","","",""
"","10188","Verify history entry card details match API data","Mobile Safari","2026-05-21","passed","2026-05-21","User entries","","",""
"","5602","user can login with valid username","Mobile Chrome","2026-05-22","passed","2026-05-22","Login - Valid Credentials","","",""
"","13148","Five player contest Submission @smoke","Mobile Safari","2026-05-21","passed","2026-05-21","User Enter Contest","","",""
"","35512","cannot login with unknown username","Mobile Chrome","2026-05-22","passed","2026-05-22","Login - Invalid Credentials","","",""
"","31269","Navigating to last page then switching dropdown resets view and verify data","Mobile Chrome","2026-05-21","passed","2026-05-21","User entries","","",""
"","52561","Verify Pagination works","Mobile Safari","2026-05-21","passed","2026-05-21","User entries","","",""
"","21063","Verify user can update the daily entry limits","Mobile Safari","2026-05-21","passed","2026-05-21","My Settings","","",""
"","193602","Verify user limit modal","Mobile Chrome","2026-05-21","passed","2026-05-21","User limit modal","","",""
"","4254","password field masks input","Mobile Chrome","2026-05-22","passed","2026-05-22","Login - Page Rendering","","",""
"","17387","Verify active tab entry cards are visible","Mobile Safari","2026-05-21","passed","2026-05-21","User entries","","",""
"","34724","cannot login with both fields empty","Mobile Safari","2026-05-22","passed","2026-05-22","Login - Invalid Credentials","","",""
"","10407","Verify time period switching updates history data","Mobile Safari","2026-05-21","passed","2026-05-21","User entries","","",""
"","8913","Verify navigation between Active and History tabs","Mobile Safari","2026-05-21","passed","2026-05-21","User entries","","",""
"","21322","Submit contest and verify entry amount and max payout getting updated","Mobile Safari","2026-05-21","passed","2026-05-21","User Enter Contest","","",""
"","8938","Verify user can update the daily entry limits","Mobile Chrome","2026-05-21","passed","2026-05-21","My Settings","","",""
"","32259","Logged-out tailer signs in via the tail link, then auto-tails and submits","Mobile Chrome","2026-05-21","passed","2026-05-21","Slip sharing & tailing","","",""
"","13881","Verify Contest Entry Using promo from Promotions Tab","Mobile Safari","2026-05-21","passed","2026-05-21","Promo Contest Entry","","",""
"","5701","user can login with valid email","Mobile Chrome","2026-05-22","passed","2026-05-22","Login - Valid Credentials","","",""
"","41810","user can login again after logout","Mobile Chrome","2026-05-22","passed","2026-05-22","Login - Logout Flow","","",""
"","4652","forgot password link navigates to password reset","Mobile Safari","2026-05-22","passed","2026-05-22","Login - Navigation","","",""
"","4371","login respects ""next"" query param redirect","Mobile Safari","2026-05-22","passed","2026-05-22","Login - Valid Credentials","","",""
