"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","47988","cannot login with empty password","Mobile Chrome","2026-06-12","failed","2026-06-12","Login - Invalid Credentials","","",""
"","32913","For You tab renders (empty hero in single-user envs, cards otherwise)","Mobile Chrome","2026-06-11","passed","2026-06-11","Tail Feed","","",""
"","81125","Contest creation and validate in entries section","Mobile Chrome","2026-06-11","passed","2026-06-11","User Enter Contest","","",""
"","5298","Share button opens the share-slip modal for shareable entries","Mobile Safari","2026-06-12","skipped","2026-06-12","My Entries card redesign — read-only","","",""
"","6385","Verify time period switching updates history data","Mobile Chrome","2026-06-11","passed","2026-06-11","User entries","","",""
"","6987","Indicator stays under ""Entries"" when toggling Active and History","Mobile Safari","2026-06-11","passed","2026-06-11","Bottom nav — Entries active indicator (DFS-1816)","","",""
"","8201","Verify time period switching updates history data","Mobile Safari","2026-06-11","passed","2026-06-11","User entries","","",""
"","35255","logout flow works for logged-in user","Mobile Chrome","2026-06-12","passed","2026-06-12","Login - Logout Flow","","",""
"","3331","Groups items under Account, Rewards and Support","Mobile Safari","2026-06-11","passed","2026-06-11","Account Center menu (DFS-1667)","","",""
"","2506","password field masks input","Mobile Chrome","2026-06-12","passed","2026-06-12","Login - Page Rendering","","",""
"","6273","user is redirected to home after successful login","Mobile Safari","2026-06-12","passed","2026-06-12","Login - Valid Credentials","","",""
"","7986","Verify History Summary Data","Mobile Safari","2026-06-11","passed","2026-06-11","User entries","","",""
"","3269","Verify entry card expand and collapse","Mobile Chrome","2026-06-11","passed","2026-06-11","User entries","","",""
"","5166","login page renders all expected elements","Mobile Safari","2026-06-12","passed","2026-06-12","Login - Page Rendering","","",""
"","6725","Dedicated chevron toggle expands and collapses the card","Mobile Safari","2026-06-12","passed","2026-06-12","My Entries card redesign — read-only","","",""
"","4740","Live entries surface a Live indicator","Mobile Chrome","2026-06-12","skipped","2026-06-12","My Entries card redesign — read-only","","",""
"","8947","Five player contest Submission @smoke","Mobile Chrome","2026-06-11","passed","2026-06-11","User Enter Contest","","",""
"","5862","Verify History Summary Data","Mobile Chrome","2026-06-11","passed","2026-06-11","User entries","","",""
"","6401","History entry surfaces a Won / Lost / Cancelled result pill","Mobile Safari","2026-06-12","passed","2026-06-12","My Entries card redesign — read-only","","",""
"","32602","Verify Pagination works","Mobile Safari","2026-06-11","passed","2026-06-11","User entries","","",""
"","11414","Submit contest and verify entry amount and max payout getting updated","Mobile Chrome","2026-06-11","passed","2026-06-11","User Enter Contest","","",""
"","27642","Navigating to last page then switching dropdown resets view and verify data","Mobile Chrome","2026-06-11","passed","2026-06-11","User entries","","",""
"","2149","Groups items under Account, Rewards and Support","Mobile Chrome","2026-06-11","passed","2026-06-11","Account Center menu (DFS-1667)","","",""
"","36248","logout flow works for logged-in user","Mobile Safari","2026-06-12","passed","2026-06-12","Login - Logout Flow","","",""
"","5086","slip persists through Rewards tab round-trip","Mobile Chrome","2026-06-11","passed","2026-06-11","Slip persistence","","",""
"","6712","Verify Contest Entry Using promo from Promotions Tab","Mobile Safari","2026-06-11","passed","2026-06-11","Promo Contest Entry","","",""
"","2586","login page renders all expected elements","Mobile Chrome","2026-06-12","passed","2026-06-12","Login - Page Rendering","","",""
"","2200","unauthenticated user sees Join Now button on home","Mobile Chrome","2026-06-12","passed","2026-06-12","Login - Navigation","","",""
"","5809","Verify history entry card details match API data","Mobile Chrome","2026-06-11","passed","2026-06-11","User entries","","",""
"","31665","Navigating to last page then switching dropdown resets view and verify data","Mobile Safari","2026-06-11","passed","2026-06-11","User entries","","",""
"","4582","user can login with valid username","Mobile Chrome","2026-06-12","passed","2026-06-12","Login - Valid Credentials","","",""
"","4551","Active card shows the entry amount, payout and Insured/All In multiplier","Mobile Safari","2026-06-12","passed","2026-06-12","My Entries card redesign — read-only","","",""
"","5855","Collapsed active card shows the pick-badge preview; expanding hides it","Mobile Safari","2026-06-12","passed","2026-06-12","My Entries card redesign — read-only","","",""
"","2433","forgot password link navigates to password reset","Mobile Chrome","2026-06-12","passed","2026-06-12","Login - Navigation","","",""
"","5075","View Leaderboard opens the contest-group leaderboard modal","Mobile Safari","2026-06-12","skipped","2026-06-12","My Entries card redesign — read-only","","",""
"","9712","Five player contest Submission @smoke","Mobile Safari","2026-06-11","passed","2026-06-11","User Enter Contest","","",""
"","6815","Verify history entry card details match API data","Mobile Safari","2026-06-11","passed","2026-06-11","User entries","","",""
"","48199","Submit multiple contests back to back","Mobile Safari","2026-06-11","passed","2026-06-11","User Enter Contest","","",""
"","7992","user can login with valid username","Mobile Safari","2026-06-12","passed","2026-06-12","Login - Valid Credentials","","",""
"","15188","Share toggle OFF — newly-placed contest does NOT appear on the You tab","Mobile Chrome","2026-06-11","passed","2026-06-11","Tail Feed","","",""
"","600586","Verify user can update the daily entry limits","Mobile Safari","2026-06-11","broken","2026-06-11","My Settings","","",""
"","4093","Verify FG stats selection","Mobile Safari","2026-06-11","passed","2026-06-11","FG Stats","","",""
"","5359","Verify Contest Entry Using promo from Promotions Tab","Mobile Chrome","2026-06-11","passed","2026-06-11","Promo Contest Entry","","",""
"","8068","slip persists through Rewards tab round-trip","Mobile Safari","2026-06-11","passed","2026-06-11","Slip persistence","","",""
"","4748","Share button opens the share-slip modal for shareable entries","Mobile Chrome","2026-06-12","skipped","2026-06-12","My Entries card redesign — read-only","","",""
"","4854","user is redirected to home after successful login","Mobile Chrome","2026-06-12","passed","2026-06-12","Login - Valid Credentials","","",""
"","6685","Verify active tab displays Entry Amount and Max Payout","Mobile Safari","2026-06-11","passed","2026-06-11","User entries","","",""
"","37480","user can login again after logout","Mobile Chrome","2026-06-12","passed","2026-06-12","Login - Logout Flow","","",""
"","4146","Verify active tab entry cards are visible","Mobile Chrome","2026-06-11","passed","2026-06-11","User entries","","",""
"","13303","Submit contest and verify entry amount and max payout getting updated","Mobile Safari","2026-06-11","passed","2026-06-11","User Enter Contest","","",""
"","9750","slip persists through hard page reload","Mobile Safari","2026-06-11","passed","2026-06-11","Slip persistence","","",""
"","5967","Verify navigation between Active and History tabs","Mobile Chrome","2026-06-11","passed","2026-06-11","User entries","","",""
"","48671","cannot login with both fields empty","Mobile Safari","2026-06-12","failed","2026-06-12","Login - Invalid Credentials","","",""
"","15651","Freshly placed entry is cancellable with a live countdown, and Cancel Entry opens a confirmation","Mobile Safari","2026-06-12","skipped","2026-06-12","My Entries card redesign — cancel flow","","",""
"","0","An available offer exposes an enabled CTA","Mobile Safari","2026-06-11","skipped","2026-06-11","Partner Rewards (DFS-1602 / DFS-1604)","","",""
"","32885","cannot login with empty username","Mobile Chrome","2026-06-12","passed","2026-06-12","Login - Invalid Credentials","","",""
"","3267","login page is accessible via direct URL navigation","Mobile Chrome","2026-06-12","passed","2026-06-12","Login - Page Rendering","","",""
"","3879","Items route to their destination pages","Mobile Safari","2026-06-11","passed","2026-06-11","Account Center menu (DFS-1667)","","",""
"","21293","Logged-in tailer clicks ""Tail this entry"" and submits the same picks","Mobile Chrome","2026-06-11","passed","2026-06-11","Slip sharing & tailing","","",""
"","3424","Opens from the burger with title, wallet summary and Deposit CTA","Mobile Safari","2026-06-11","passed","2026-06-11","Account Center menu (DFS-1667)","","",""
"","24963","Logged-out tailer signs in via the tail link, then auto-tails and submits","Mobile Safari","2026-06-11","passed","2026-06-11","Slip sharing & tailing","","",""
"","2725","password field masks input","Mobile Safari","2026-06-12","passed","2026-06-12","Login - Page Rendering","","",""
"","33271","cannot login with unknown username","Mobile Chrome","2026-06-12","passed","2026-06-12","Login - Invalid Credentials","","",""
"","19666","Verify user limit modal","Mobile Safari","2026-06-11","failed","2026-06-11","User limit modal","","",""
"","3528","forgot password link navigates to password reset","Mobile Safari","2026-06-12","passed","2026-06-12","Login - Navigation","","",""
"","7464","View Leaderboard opens the contest-group leaderboard modal","Mobile Chrome","2026-06-12","skipped","2026-06-12","My Entries card redesign — read-only","","",""
"","3433","unauthenticated user sees Join Now button on home","Mobile Safari","2026-06-12","passed","2026-06-12","Login - Navigation","","",""
"","33362","cannot login with empty username","Mobile Safari","2026-06-12","passed","2026-06-12","Login - Invalid Credentials","","",""
"","4551","Collapsed active card shows the pick-badge preview; expanding hides it","Mobile Chrome","2026-06-12","passed","2026-06-12","My Entries card redesign — read-only","","",""
"","5109","Live entries surface a Live indicator","Mobile Safari","2026-06-12","skipped","2026-06-12","My Entries card redesign — read-only","","",""
"","5737","Verify entry card expand and collapse","Mobile Safari","2026-06-11","passed","2026-06-11","User entries","","",""
"","0","An available offer exposes an enabled CTA","Mobile Chrome","2026-06-11","skipped","2026-06-11","Partner Rewards (DFS-1602 / DFS-1604)","","",""
"","3944","Verify user data renders correctly","Mobile Safari","2026-06-11","passed","2026-06-11","My Settings","","",""
"","2754","Verify user data renders correctly","Mobile Chrome","2026-06-11","passed","2026-06-11","My Settings","","",""
"","2481","login respects ""next"" query param redirect","Mobile Chrome","2026-06-12","passed","2026-06-12","Login - Valid Credentials","","",""
"","34243","cannot login with unknown username","Mobile Safari","2026-06-12","passed","2026-06-12","Login - Invalid Credentials","","",""
"","30771","Logged-in tailer clicks ""Tail this entry"" and submits the same picks","Mobile Safari","2026-06-11","passed","2026-06-11","Slip sharing & tailing","","",""
"","3444","Verify FG stats selection","Mobile Chrome","2026-06-11","passed","2026-06-11","FG Stats","","",""
"","0","Switching to the Promotions sub-tab routes to /rewards/promotions","Mobile Chrome","2026-06-11","skipped","2026-06-11","Partner Rewards (DFS-1602 / DFS-1604)","","",""
"","0","Partner Rewards is the default tab, alongside a Promotions tab","Mobile Chrome","2026-06-11","skipped","2026-06-11","Partner Rewards (DFS-1602 / DFS-1604)","","",""
"","5046","Tailers pill reads ""<n> tailers | $<reward>"" when an entry has tailers","Mobile Safari","2026-06-12","skipped","2026-06-12","My Entries card redesign — read-only","","",""
"","600682","Verify user can update the daily entry limits","Mobile Chrome","2026-06-11","broken","2026-06-11","My Settings","","",""
