"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17502","Share toggle ON — newly-placed contest appears on You tab and Tail Entry tails it","Mobile Chrome","2026-07-17","passed","2026-07-17","Tail Feed","","",""
"","36318","Contest creation and validate in entries section","Mobile Safari","2026-07-17","passed","2026-07-17","User Enter Contest","","",""
"","6672","Verify time period switching updates history data","Mobile Chrome","2026-07-17","passed","2026-07-17","User entries","","",""
"","4419","Collapsed active card shows the pick-badge preview; expanding hides it","Mobile Chrome","2026-07-17","passed","2026-07-17","My Entries card redesign — read-only","","",""
"","5","Submit contest and verify entry amount and max payout getting updated","Mobile Chrome","2026-07-17","skipped","2026-07-17","User Enter Contest","","",""
"","27382","buy a pack, RIP it, then redeem and ship the pulled card","Mobile Safari","2026-07-17","passed","2026-07-17","Packs provider flow (money-moving)","","",""
"","4989","the back link returns to the lobby","Mobile Chrome","2026-07-17","passed","2026-07-17","Pack detail (DFS-2114)","","",""
"","30682","Verify Pagination works","Mobile Chrome","2026-07-17","passed","2026-07-17","User entries","","",""
"","44615","Share toggle OFF — newly-placed contest does NOT appear on the You tab","Mobile Safari","2026-07-17","passed","2026-07-17","Tail Feed","","",""
"","3157","the quantity stepper is correctly bounded","Mobile Chrome","2026-07-17","passed","2026-07-17","Pack detail (DFS-2114)","","",""
"","3076","Opens from the burger with title, wallet summary and Deposit CTA","Mobile Safari","2026-07-17","passed","2026-07-17","Account Center menu (DFS-1667)","","",""
"","3706","Partner Rewards is the default tab, alongside a Promotions tab","Mobile Safari","2026-07-17","passed","2026-07-17","Partner Rewards (DFS-1602 / DFS-1604)","","",""
"","4735","Share button opens the share-slip modal for shareable entries","Mobile Safari","2026-07-17","skipped","2026-07-17","My Entries card redesign — read-only","","",""
"","4547","unauthenticated visit to /packs redirects to login with a next param","Mobile Safari","2026-07-17","passed","2026-07-17","Packs access (DFS-2146)","","",""
"","2956","Feed tab routes to /challenges/feed and takes the indicator","Mobile Chrome","2026-07-17","passed","2026-07-17","Bottom nav — tab routing & active indicator (DFS-1998)","","",""
"","4836","Verify entry card expand and collapse","Mobile Chrome","2026-07-17","passed","2026-07-17","User entries","","",""
"","2425","a 'See all' link opens a subcategory listing","Mobile Safari","2026-07-17","passed","2026-07-17","Packs lobby (DFS-2114)","","",""
"","6144","logout flow works for logged-in user","Mobile Chrome","2026-07-17","passed","2026-07-17","Login - Logout Flow","","",""
"","3286","My Settings no longer renders the Player Limits controls","Mobile Safari","2026-07-17","passed","2026-07-17","My Settings — Player Limits removed (DFS-1855)","","",""
