"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6359","user can login with valid username","Mobile Safari","2026-05-19","passed","2026-05-19","Login - Valid Credentials","","",""
"","36308","cannot login with empty password","Mobile Safari","2026-05-19","passed","2026-05-19","Login - Invalid Credentials","","",""
"","3244","forgot password link navigates to password reset","Mobile Chrome","2026-05-19","passed","2026-05-19","Login - Navigation","","",""
"","22360","Verify Pagination works","Mobile Chrome","2026-05-19","passed","2026-05-19","User entries","","",""
"","37825","logout flow works for logged-in user","Mobile Chrome","2026-05-19","passed","2026-05-19","Login - Logout Flow","","",""
"","4023","login page is accessible via direct URL navigation","Mobile Safari","2026-05-19","passed","2026-05-19","Login - Page Rendering","","",""
"","6444","slip persists through Rewards tab round-trip","Mobile Chrome","2026-05-19","passed","2026-05-19","Slip persistence","","",""
"","21564","Navigating to last page then switching dropdown resets view and verify data","Mobile Chrome","2026-05-19","passed","2026-05-19","User entries","","",""
"","33129","cannot login with empty username","Mobile Safari","2026-05-19","passed","2026-05-19","Login - Invalid Credentials","","",""
"","7369","Verify navigation between Active and History tabs","Mobile Safari","2026-05-19","passed","2026-05-19","User entries","","",""
"","3126","password field masks input","Mobile Chrome","2026-05-19","passed","2026-05-19","Login - Page Rendering","","",""
"","5591","Verify active tab displays Entry Amount and Max Payout","Mobile Safari","2026-05-19","passed","2026-05-19","User entries","","",""
"","4873","Verify active tab entry cards are visible","Mobile Chrome","2026-05-19","passed","2026-05-19","User entries","","",""
"","3615","forgot password link navigates to password reset","Mobile Safari","2026-05-19","passed","2026-05-19","Login - Navigation","","",""
"","7133","slip persists through Rewards tab round-trip","Mobile Safari","2026-05-19","passed","2026-05-19","Slip persistence","","",""
"","25624","Logged-out tailer signs in via the tail link, then auto-tails and submits","Mobile Safari","2026-05-19","passed","2026-05-19","Slip sharing & tailing","","",""
"","3066","login page renders all expected elements","Mobile Chrome","2026-05-19","passed","2026-05-19","Login - Page Rendering","","",""
"","5014","Verify entry card expand and collapse","Mobile Chrome","2026-05-19","passed","2026-05-19","User entries","","",""
"","3670","unauthenticated user sees Join Now button on home","Mobile Safari","2026-05-19","passed","2026-05-19","Login - Navigation","","",""
"","5396","user can login with valid email","Mobile Safari","2026-05-19","passed","2026-05-19","Login - Valid Credentials","","",""
"","40152","user can login again after logout","Mobile Safari","2026-05-19","passed","2026-05-19","Login - Logout Flow","","",""
"","36563","cannot login with both fields empty","Mobile Chrome","2026-05-19","passed","2026-05-19","Login - Invalid Credentials","","",""
"","4176","Verify FG stats selection","Mobile Safari","2026-05-19","passed","2026-05-19","FG Stats","","",""
"","7859","slip persists through hard page reload","Mobile Chrome","2026-05-19","passed","2026-05-19","Slip persistence","","",""
"","2648","password field masks input","Mobile Safari","2026-05-19","passed","2026-05-19","Login - Page Rendering","","",""
"","29269","Contest creation and validate in entries section","Mobile Chrome","2026-05-19","passed","2026-05-19","User Enter Contest","","",""
"","35122","error message clears on retry with valid credentials","Mobile Chrome","2026-05-19","passed","2026-05-19","Login - Invalid Credentials","","",""
"","48537","Submit multiple contests back to back","Mobile Safari","2026-05-19","passed","2026-05-19","User Enter Contest","","",""
"","34272","cannot login with both fields empty","Mobile Safari","2026-05-19","passed","2026-05-19","Login - Invalid Credentials","","",""
"","5296","Verify active tab entry cards are visible","Mobile Safari","2026-05-19","passed","2026-05-19","User entries","","",""
"","3364","unauthenticated user sees Join Now button on home","Mobile Chrome","2026-05-19","passed","2026-05-19","Login - Navigation","","",""
"","6363","Verify Contest Entry Using promo from Promotions Tab","Mobile Safari","2026-05-19","passed","2026-05-19","Promo Contest Entry","","",""
"","3854","Verify active tab displays Entry Amount and Max Payout","Mobile Chrome","2026-05-19","passed","2026-05-19","User entries","","",""
"","33864","cannot login with unknown username","Mobile Safari","2026-05-19","passed","2026-05-19","Login - Invalid Credentials","","",""
"","4989","user can login with valid email","Mobile Chrome","2026-05-19","passed","2026-05-19","Login - Valid Credentials","","",""
"","50922","Submit multiple contests back to back","Mobile Chrome","2026-05-19","passed","2026-05-19","User Enter Contest","","",""
"","2852","login page is accessible via direct URL navigation","Mobile Chrome","2026-05-19","passed","2026-05-19","Login - Page Rendering","","",""
"","3901","login page renders all expected elements","Mobile Safari","2026-05-19","passed","2026-05-19","Login - Page Rendering","","",""
"","6151","user is redirected to home after successful login","Mobile Chrome","2026-05-19","passed","2026-05-19","Login - Valid Credentials","","",""
"","6431","Verify user can update the daily entry limits","Mobile Chrome","2026-05-19","passed","2026-05-19","My Settings","","",""
"","37627","user can login again after logout","Mobile Chrome","2026-05-19","passed","2026-05-19","Login - Logout Flow","","",""
"","3489","Verify user data renders correctly","Mobile Chrome","2026-05-19","passed","2026-05-19","My Settings","","",""
"","25792","Logged-out tailer signs in via the tail link, then auto-tails and submits","Mobile Chrome","2026-05-19","passed","2026-05-19","Slip sharing & tailing","","",""
"","192932","Verify user limit modal","Mobile Safari","2026-05-19","passed","2026-05-19","User limit modal","","",""
"","8441","slip persists through hard page reload","Mobile Safari","2026-05-19","passed","2026-05-19","Slip persistence","","",""
"","34075","cannot login with invalid password","Mobile Safari","2026-05-19","passed","2026-05-19","Login - Invalid Credentials","","",""
"","7895","Verify history entry card details match API data","Mobile Safari","2026-05-19","passed","2026-05-19","User entries","","",""
"","36816","logout flow works for logged-in user","Mobile Safari","2026-05-19","passed","2026-05-19","Login - Logout Flow","","",""
"","6556","Verify history entry card details match API data","Mobile Chrome","2026-05-19","passed","2026-05-19","User entries","","",""
"","34843","cannot login with empty username","Mobile Chrome","2026-05-19","passed","2026-05-19","Login - Invalid Credentials","","",""
"","7816","Verify History Summary Data","Mobile Safari","2026-05-19","passed","2026-05-19","User entries","","",""
"","36285","Logged-in tailer clicks ""Tail this entry"" and submits the same picks","Mobile Safari","2026-05-19","passed","2026-05-19","Slip sharing & tailing","","",""
"","34661","cannot login with empty password","Mobile Chrome","2026-05-19","passed","2026-05-19","Login - Invalid Credentials","","",""
"","11309","Five player contest Submission @smoke","Mobile Safari","2026-05-19","passed","2026-05-19","User Enter Contest","","",""
