"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31780","slip persists through Entries tab round-trip","Desktop","2026-08-25","failed","2026-08-25","Slip persistence","","",""
"","2831","stats selector tabs equal the API stat names for the default league","Mobile Safari","2026-08-25","passed","2026-08-25","Picks grid data verification","","",""
"","4662","Cancel Entry countdown stays within the 5-minute window","Mobile Chrome","2026-08-25","passed","2026-08-25","User entries","","",""
"","2640","login page renders all expected elements","Mobile Safari","2026-08-25","passed","2026-08-25","Login - Page Rendering","","",""
"","32947","For You tab renders (empty hero in single-user envs, cards otherwise)","Mobile Safari","2026-08-25","passed","2026-08-25","Tail Feed","","",""
"","12236","Contest creation and validate in entries section","Mobile Chrome","2026-08-25","passed","2026-08-25","User Enter Contest","","",""
"","0","Dedicated chevron toggle expands and collapses the card","Desktop","2026-08-25","skipped","2026-08-25","My Entries card redesign — read-only","","",""
"","3505","Cancel Entry countdown stays within the 5-minute window","Mobile Safari","2026-08-25","passed","2026-08-25","User entries","","",""
"","5496","login respects ""next"" query param redirect","Mobile Safari","2026-08-25","passed","2026-08-25","Login - Valid Credentials","","",""
"","12025","Confirming cancel twice fires the cancel request only once (double-submit guard)","Mobile Safari","2026-08-25","passed","2026-08-25","My Entries card redesign — cancel flow","","",""
"","2553","stored ""light"" preference boots the app light with the light logo","Mobile Chrome","2026-08-25","passed","2026-08-25","Dark mode (theme-preference)","","",""
"","5073","the close bar dismisses the iframe and restores the page","Mobile Safari","2026-08-25","passed","2026-08-25","Pack opening iframe (DFS-2087 / DFS-2169)","","",""
"","2372","An available offer exposes an enabled CTA","Mobile Safari","2026-08-25","skipped","2026-08-25","Partner Rewards (DFS-1602 / DFS-1604)","","",""
"","3389","Collapsed active card shows the pick-badge preview; expanding hides it","Mobile Chrome","2026-08-25","passed","2026-08-25","My Entries card redesign — read-only","","",""
"","5383","slip persists through Rewards tab round-trip","Mobile Safari","2026-08-25","passed","2026-08-25","Slip persistence","","",""
"","0","View Leaderboard opens the contest-group leaderboard modal","Desktop","2026-08-25","skipped","2026-08-25","My Entries card redesign — read-only","","",""
"","2784","My Settings no longer renders the Player Limits controls","Mobile Safari","2026-08-25","passed","2026-08-25","My Settings — Player Limits removed (DFS-1855)","","",""
"","5248","Verify Pagination works","Mobile Chrome","2026-08-25","skipped","2026-08-25","User entries","","",""
"","2533","Fifth tab (Free2Play or Packs) routes and takes the indicator","Mobile Chrome","2026-08-25","passed","2026-08-25","Bottom nav — tab routing & active indicator (DFS-1998)","","",""
"","0","active entry cards render the entries-paged API data","Desktop","2026-08-25","skipped","2026-08-25","Active entries data verification","","",""
"","143857","logout flow works for logged-in user","Desktop","2026-08-25","failed","2026-08-25","Login - Logout Flow","","",""
"","5128","Navigating to last page then switching dropdown resets view and verify data","Mobile Safari","2026-08-25","skipped","2026-08-25","User entries","","",""
"","3802","an unknown pack id shows the not-found message","Mobile Chrome","2026-08-25","passed","2026-08-25","Pack detail (DFS-2114)","","",""
"","2993","unauthenticated user sees Join Now button on home","Mobile Chrome","2026-08-25","passed","2026-08-25","Login - Navigation","","",""
"","4959","Verify History Summary Data","Mobile Safari","2026-08-25","passed","2026-08-25","User entries","","",""
"","4","buy a pack, RIP it, then accept the buyback","Mobile Chrome","2026-08-25","skipped","2026-08-25","Packs provider flow (money-moving)","","",""
"","4219","Verify navigation between Active and History tabs","Mobile Chrome","2026-08-25","passed","2026-08-25","User entries","","",""
"","2231","renders the Open a Pack catalog with at least one pack tile","Mobile Chrome","2026-08-25","passed","2026-08-25","Packs lobby (DFS-2114)","","",""
"","2437","Typing a term narrows the grid without dropping below the results","Mobile Chrome","2026-08-25","passed","2026-08-25","Home feed search","","",""
"","31590","slip persists through hard page reload","Desktop","2026-08-25","failed","2026-08-25","Slip persistence","","",""
"","2524","login page renders correctly in dark mode","Mobile Safari","2026-08-25","passed","2026-08-25","Dark mode (theme-preference)","","",""
"","172854","cannot login with invalid password","Desktop","2026-08-25","failed","2026-08-25","Login - Invalid Credentials","","",""
"","2763","Fifth tab (Free2Play or Packs) routes and takes the indicator","Mobile Safari","2026-08-25","passed","2026-08-25","Bottom nav — tab routing & active indicator (DFS-1998)","","",""
"","31695","Logged-out tailer signs in via the tail link, then auto-tails and submits","Desktop","2026-08-25","failed","2026-08-25","Slip sharing & tailing","","",""
"","2963","searching an API player's full name shows exactly matching cards","Mobile Safari","2026-08-25","passed","2026-08-25","Feed search data verification","","",""
"","4710","View Odds opens the Pack Odds modal (when the pack has odds)","Mobile Safari","2026-08-25","passed","2026-08-25","Pack detail (DFS-2114)","","",""
"","2084","pack tiles link to a /packs/pack/<id> detail route","Mobile Chrome","2026-08-25","passed","2026-08-25","Packs lobby (DFS-2114)","","",""
"","0","a 'See all' link opens a subcategory listing","Desktop","2026-08-25","skipped","2026-08-25","Packs lobby (DFS-2114)","","",""
