"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6505","Verify navigation between Active and History tabs","Mobile Chrome","2026-05-22","passed","2026-05-22","User entries","","",""
"","27458","Logged-out tailer signs in via the tail link, then auto-tails and submits","Mobile Chrome","2026-05-22","passed","2026-05-22","Slip sharing & tailing","","",""
"","28210","Navigating to last page then switching dropdown resets view and verify data","Mobile Safari","2026-05-22","passed","2026-05-22","User entries","","",""
"","27059","Verify Pagination works","Mobile Safari","2026-05-22","passed","2026-05-22","User entries","","",""
"","34017","cannot login with unknown username","Mobile Chrome","2026-05-22","passed","2026-05-22","Login - Invalid Credentials","","",""
"","8634","Verify History Summary Data","Mobile Safari","2026-05-22","passed","2026-05-22","User entries","","",""
"","59747","Contest creation and validate in entries section","Mobile Chrome","2026-05-22","passed","2026-05-22","User Enter Contest","","",""
"","14173","Verify Contest Entry Using promo from Promotions Tab","Mobile Safari","2026-05-22","passed","2026-05-22","Promo Contest Entry","","",""
"","3453","unauthenticated user sees Join Now button on home","Mobile Chrome","2026-05-22","passed","2026-05-22","Login - Navigation","","",""
"","15132","slip persists through Entries tab round-trip","Mobile Safari","2026-05-22","passed","2026-05-22","Slip persistence","","",""
"","5984","Verify navigation between Active and History tabs","Mobile Safari","2026-05-22","passed","2026-05-22","User entries","","",""
"","31176","Logged-in tailer clicks ""Tail this entry"" and submits the same picks","Mobile Safari","2026-05-22","passed","2026-05-22","Slip sharing & tailing","","",""
"","33418","cannot login with empty password","Mobile Chrome","2026-05-22","passed","2026-05-22","Login - Invalid Credentials","","",""
"","4461","user can login with valid username","Mobile Chrome","2026-05-22","passed","2026-05-22","Login - Valid Credentials","","",""
"","6893","Verify active tab entry cards are visible","Mobile Safari","2026-05-22","passed","2026-05-22","User entries","","",""
"","5497","login page renders all expected elements","Mobile Safari","2026-05-22","passed","2026-05-22","Login - Page Rendering","","",""
"","36767","error message clears on retry with valid credentials","Mobile Safari","2026-05-22","passed","2026-05-22","Login - Invalid Credentials","","",""
"","28261","Verify Contest Entry Using promo from Promotions Tab","Mobile Chrome","2026-05-22","passed","2026-05-22","Promo Contest Entry","","",""
"","15034","Five player contest Submission @smoke","Mobile Chrome","2026-05-22","passed","2026-05-22","User Enter Contest","","",""
"","23820","Verify user can update the daily entry limits","Mobile Safari","2026-05-22","passed","2026-05-22","My Settings","","",""
"","36365","logout flow works for logged-in user","Mobile Chrome","2026-05-22","passed","2026-05-22","Login - Logout Flow","","",""
"","8653","Verify user can update the daily entry limits","Mobile Chrome","2026-05-22","passed","2026-05-22","My Settings","","",""
"","17681","Verify active tab entry cards are visible","Mobile Chrome","2026-05-22","passed","2026-05-22","User entries","","",""
"","4617","user can login with valid email","Mobile Chrome","2026-05-22","passed","2026-05-22","Login - Valid Credentials","","",""
"","38713","user can login again after logout","Mobile Chrome","2026-05-22","passed","2026-05-22","Login - Logout Flow","","",""
"","2930","password field masks input","Mobile Chrome","2026-05-22","passed","2026-05-22","Login - Page Rendering","","",""
"","14743","Submit contest and verify entry amount and max payout getting updated","Mobile Safari","2026-05-22","passed","2026-05-22","User Enter Contest","","",""
"","18412","Share toggle ON — newly-placed contest appears on You tab and Tail Entry tails it","Mobile Chrome","2026-05-22","passed","2026-05-22","Tail Feed","","",""
"","37504","Verify active tab displays Entry Amount and Max Payout","Mobile Chrome","2026-05-22","passed","2026-05-22","User entries","","",""
"","33569","cannot login with both fields empty","Mobile Chrome","2026-05-22","passed","2026-05-22","Login - Invalid Credentials","","",""
"","7570","Verify time period switching updates history data","Mobile Chrome","2026-05-22","passed","2026-05-22","User entries","","",""
"","3152","forgot password link navigates to password reset","Mobile Chrome","2026-05-22","passed","2026-05-22","Login - Navigation","","",""
"","32571","For You tab renders (empty hero in single-user envs, cards otherwise)","Mobile Chrome","2026-05-22","passed","2026-05-22","Tail Feed","","",""
"","36343","logout flow works for logged-in user","Mobile Safari","2026-05-22","passed","2026-05-22","Login - Logout Flow","","",""
"","6174","Verify entry card expand and collapse","Mobile Safari","2026-05-22","passed","2026-05-22","User entries","","",""
