"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","36735","error message clears on retry with valid credentials","Mobile Chrome","2026-05-15","passed","2026-05-15","Login - Invalid Credentials","","",""
"","38267","cannot login with empty username","Mobile Safari","2026-05-15","passed","2026-05-15","Login - Invalid Credentials","","",""
"","12638","unauthenticated user sees Join Now button on home","Mobile Safari","2026-05-15","passed","2026-05-15","Login - Navigation","","",""
"","21276","Navigating to last page then switching dropdown resets view and verify data","Mobile Chrome","2026-05-15","passed","2026-05-15","User entries","","",""
"","15998","user is redirected to home after successful login","Mobile Safari","2026-05-15","passed","2026-05-15","Login - Valid Credentials","","",""
"","30504","Logged-out tailer signs in via the tail link, then auto-tails and submits","Mobile Chrome","2026-05-17","passed","2026-05-17","Slip sharing & tailing","","",""
"","37695","error message clears on retry with valid credentials","Mobile Safari","2026-05-15","passed","2026-05-15","Login - Invalid Credentials","","",""
"","5757","user can login with valid username","Mobile Chrome","2026-05-15","passed","2026-05-15","Login - Valid Credentials","","",""
"","10817","slip persists through Entries tab round-trip","Mobile Chrome","2026-05-16","passed","2026-05-16","Slip persistence","","",""
"","6627","user is redirected to home after successful login","Mobile Chrome","2026-05-15","passed","2026-05-15","Login - Valid Credentials","","",""
"","33875","cannot login with both fields empty","Mobile Chrome","2026-05-16","passed","2026-05-16","Login - Invalid Credentials","","",""
"","40215","logout flow works for logged-in user","Mobile Safari","2026-05-15","passed","2026-05-15","Login - Logout Flow","","",""
"","7746","user can login with valid email","Mobile Safari","2026-05-15","passed","2026-05-15","Login - Valid Credentials","","",""
"","18837","Verify entry card expand and collapse","Mobile Safari","2026-05-15","passed","2026-05-15","User entries","","",""
"","6914","login page renders all expected elements","Mobile Safari","2026-05-15","passed","2026-05-15","Login - Page Rendering","","",""
"","9956","slip persists through hard page reload","Mobile Chrome","2026-05-16","passed","2026-05-16","Slip persistence","","",""
"","33010","Five player contest Submission @smoke","Mobile Safari","2026-05-17","passed","2026-05-17","User Enter Contest","","",""
"","3689","forgot password link navigates to password reset","Mobile Safari","2026-05-15","passed","2026-05-15","Login - Navigation","","",""
"","8497","slip persists through Rewards tab round-trip","Mobile Chrome","2026-05-16","passed","2026-05-16","Slip persistence","","",""
"","198692","Verify user limit modal","Mobile Safari","2026-05-17","passed","2026-05-17","User limit modal","","",""
"","9172","Verify History Summary Data","Mobile Safari","2026-05-15","passed","2026-05-15","User entries","","",""
"","3153","forgot password link navigates to password reset","Mobile Chrome","2026-05-15","passed","2026-05-15","Login - Navigation","","",""
"","6905","Verify user data renders correctly","Mobile Safari","2026-05-15","passed","2026-05-15","My Settings","","",""
"","12352","Verify active tab displays Entry Amount and Max Payout","Mobile Safari","2026-05-15","passed","2026-05-15","User entries","","",""
"","11133","Verify active tab displays Entry Amount and Max Payout","Mobile Chrome","2026-05-15","passed","2026-05-15","User entries","","",""
"","10370","user can login with valid username","Mobile Safari","2026-05-15","passed","2026-05-15","Login - Valid Credentials","","",""
"","192603","Verify user limit modal","Mobile Chrome","2026-05-16","passed","2026-05-16","User limit modal","","",""
"","4581","password field masks input","Mobile Safari","2026-05-15","passed","2026-05-15","Login - Page Rendering","","",""
"","3661","login page renders all expected elements","Mobile Chrome","2026-05-15","passed","2026-05-15","Login - Page Rendering","","",""
"","44499","user can login again after logout","Mobile Chrome","2026-05-15","passed","2026-05-15","Login - Logout Flow","","",""
"","14487","Verify entry card expand and collapse","Mobile Chrome","2026-05-15","passed","2026-05-15","User entries","","",""
"","36071","Logged-in tailer clicks ""Tail this entry"" and submits the same picks","Mobile Chrome","2026-05-17","passed","2026-05-17","Slip sharing & tailing","","",""
"","22481","Verify user data renders correctly","Mobile Chrome","2026-05-15","passed","2026-05-15","My Settings","","",""
"","10342","slip persists through Rewards tab round-trip","Mobile Safari","2026-05-17","passed","2026-05-17","Slip persistence","","",""
"","33526","Submit multiple contests back to back","Mobile Safari","2026-05-17","passed","2026-05-17","User Enter Contest","","",""
"","6247","Verify FG stats selection","Mobile Safari","2026-05-15","passed","2026-05-15","FG Stats","","",""
"","4549","user can login with valid email","Mobile Chrome","2026-05-15","passed","2026-05-15","Login - Valid Credentials","","",""
"","47227","Submit multiple contests back to back","Mobile Chrome","2026-05-17","passed","2026-05-17","User Enter Contest","","",""
"","12859","Verify time period switching updates history data","Mobile Safari","2026-05-15","passed","2026-05-15","User entries","","",""
"","28814","Verify Pagination works","Mobile Chrome","2026-05-15","passed","2026-05-15","User entries","","",""
"","37116","cannot login with unknown username","Mobile Safari","2026-05-15","passed","2026-05-15","Login - Invalid Credentials","","",""
"","6901","login page is accessible via direct URL navigation","Mobile Safari","2026-05-15","passed","2026-05-15","Login - Page Rendering","","",""
"","3263","login respects ""next"" query param redirect","Mobile Chrome","2026-05-15","passed","2026-05-15","Login - Valid Credentials","","",""
"","41579","Navigating to last page then switching dropdown resets view and verify data","Mobile Safari","2026-05-15","passed","2026-05-15","User entries","","",""
"","12429","Verify active tab entry cards are visible","Mobile Chrome","2026-05-15","passed","2026-05-15","User entries","","",""
"","40368","logout flow works for logged-in user","Mobile Chrome","2026-05-15","passed","2026-05-15","Login - Logout Flow","","",""
"","6976","Verify active tab entry cards are visible","Mobile Safari","2026-05-15","passed","2026-05-15","User entries","","",""
"","5877","login respects ""next"" query param redirect","Mobile Safari","2026-05-15","passed","2026-05-15","Login - Valid Credentials","","",""
"","42225","cannot login with empty username","Mobile Chrome","2026-05-15","passed","2026-05-15","Login - Invalid Credentials","","",""
"","57793","Contest creation and validate in entries section","Mobile Chrome","2026-05-17","passed","2026-05-17","User Enter Contest","","",""
"","9059","Verify history entry card details match API data","Mobile Safari","2026-05-15","passed","2026-05-15","User entries","","",""
"","25624","Logged-out tailer signs in via the tail link, then auto-tails and submits","Mobile Safari","2026-05-17","passed","2026-05-17","Slip sharing & tailing","","",""
"","3427","unauthenticated user sees Join Now button on home","Mobile Chrome","2026-05-15","passed","2026-05-15","Login - Navigation","","",""
"","45059","Verify Pagination works","Mobile Safari","2026-05-15","passed","2026-05-15","User entries","","",""
"","13188","Verify navigation between Active and History tabs","Mobile Chrome","2026-05-15","passed","2026-05-15","User entries","","",""
"","13809","Verify History Summary Data","Mobile Chrome","2026-05-15","passed","2026-05-15","User entries","","",""
"","36959","cannot login with empty password","Mobile Safari","2026-05-16","passed","2026-05-16","Login - Invalid Credentials","","",""
"","9406","Verify history entry card details match API data","Mobile Chrome","2026-05-15","passed","2026-05-15","User entries","","",""
"","7366","Verify FG stats selection","Mobile Chrome","2026-05-15","passed","2026-05-15","FG Stats","","",""
"","8400","Verify time period switching updates history data","Mobile Chrome","2026-05-15","passed","2026-05-15","User entries","","",""
"","36099","cannot login with invalid password","Mobile Safari","2026-05-15","passed","2026-05-15","Login - Invalid Credentials","","",""
"","55993","Logged-in tailer clicks ""Tail this entry"" and submits the same picks","Mobile Safari","2026-05-17","passed","2026-05-17","Slip sharing & tailing","","",""
"","35060","cannot login with unknown username","Mobile Chrome","2026-05-15","passed","2026-05-15","Login - Invalid Credentials","","",""
"","10318","Verify user can update the daily entry limits","Mobile Chrome","2026-05-16","passed","2026-05-16","My Settings","","",""
"","16019","Verify navigation between Active and History tabs","Mobile Safari","2026-05-15","passed","2026-05-15","User entries","","",""
"","34207","cannot login with both fields empty","Mobile Safari","2026-05-16","passed","2026-05-16","Login - Invalid Credentials","","",""
"","9605","slip persists through Entries tab round-trip","Mobile Safari","2026-05-17","passed","2026-05-17","Slip persistence","","",""
"","32246","Submit contest and verify entry amount and max payout getting updated","Mobile Chrome","2026-05-17","passed","2026-05-17","User Enter Contest","","",""
"","4315","login page is accessible via direct URL navigation","Mobile Chrome","2026-05-15","passed","2026-05-15","Login - Page Rendering","","",""
"","12708","Five player contest Submission @smoke","Mobile Chrome","2026-05-17","passed","2026-05-17","User Enter Contest","","",""
"","15432","Submit contest and verify entry amount and max payout getting updated","Mobile Safari","2026-05-17","passed","2026-05-17","User Enter Contest","","",""
"","33705","cannot login with empty password","Mobile Chrome","2026-05-16","passed","2026-05-16","Login - Invalid Credentials","","",""
"","10791","slip persists through hard page reload","Mobile Safari","2026-05-17","passed","2026-05-17","Slip persistence","","",""
"","11567","Verify user can update the daily entry limits","Mobile Safari","2026-05-16","passed","2026-05-16","My Settings","","",""
"","61864","Contest creation and validate in entries section","Mobile Safari","2026-05-17","passed","2026-05-17","User Enter Contest","","",""
"","35503","cannot login with invalid password","Mobile Chrome","2026-05-15","passed","2026-05-15","Login - Invalid Credentials","","",""
"","3146","password field masks input","Mobile Chrome","2026-05-15","passed","2026-05-15","Login - Page Rendering","","",""
"","49783","user can login again after logout","Mobile Safari","2026-05-15","passed","2026-05-15","Login - Logout Flow","","",""
