"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","1","Navigation","7","0","Bottom nav - tab routing and active indicator","0"
"0","","0","Settings","3","0","Settings - Player Limits","0"
"0","","0","Navigation","9","0","Shell - system pages","0"
"0","","0","Authentication","6","0","Login - Navigation","0"
"0","","6","Rewards & promos","8","1","Rewards - Partner Rewards","0"
"0","","0","Navigation","3","0","Legal - footer links","0"
"0","","0","Authentication","18","0","Login - Invalid Credentials","0"
"0","","0","Navigation","18","0","Legal - policy documents","0"
"0","","0","Transactions","21","0","Transactions - transaction log","0"
"0","","0","Authentication","9","0","Login - Page Rendering","0"
"2","","0","My Entries","26","2","My Entries - Active and History","0"
"0","","0","Navigation","9","0","Legal - contact","0"
"0","","0","Home feed","6","0","Home - Feed Search","0"
"0","","0","Packs","12","3","Packs - pack detail","0"
"0","","0","My Entries","3","0","My Entries - History Leaderboard FAQ","0"
"0","","0","Navigation","8","4","Shell - logged-out bottom nav","0"
"0","","0","Packs","6","0","Packs - opening iframe","0"
"0","","0","Data verification","12","3","Data verification - picks grid","0"
"0","","0","Theme","18","0","Theme - dark mode","0"
"0","","0","Slip persistence","9","0","Slip persistence - navigation and reload","0"
"0","","0","Data verification","3","0","Data verification - history entries","0"
"0","","0","Authentication","12","0","Login - Valid Credentials","0"
"0","","0","User limits","3","0","User Limits - Limit Exceeded Modal","0"
"0","","0","My Entries","18","9","My Entries - entry card","0"
"0","","0","Signup","4","0","Signup - Form Fields","0"
"0","","0","Signup","8","0","Signup - Entry Points","0"
"0","","0","Packs","12","3","Packs - lobby","0"
"0","","2","Slip sharing","2","2","Slip sharing - share and tail","0"
"0","","0","Packs","6","0","Packs - access control","0"
"0","","1","My Entries","3","1","My Entries - cancel entry","0"
"0","","0","Navigation","3","0","Shell - desktop header promo carousel","0"
"0","","0","Authentication","6","0","Login - Logout Flow","0"
"0","","0","Data verification","8","4","Data verification - feed search","0"
"0","","0","","0","12","","0"
"0","","1","Transactions","2","0","Transactions - contest rows","0"
"0","","0","Account menu","6","0","Menu - Account Center","0"
"0","","0","Settings","3","0","Settings - My Settings","0"
"0","","0","Data verification","3","0","Data verification - player detail modal","0"
"1","","0","Navigation","1","0","Bottom nav - Entries active indicator","0"
"0","","0","Navigation","3","0","Shell - desktop logged-out top nav","0"
"0","","0","Navigation","5","0","Desktop top nav - routing and wallet pill","0"
"0","","0","Slip sharing","11","1","Tail feed - share toggle and tailing","0"
"0","","0","Stat selection","2","1","Stats - Full Game default selection","0"
"0","","0","Data verification","3","0","Data verification - active entries","0"
"0","","0","Account menu","3","0","Menu - Desktop Account Dropdown","0"
"3","","0","Contest entry","0","0","Contests - Enter Contest","0"
"0","","1","Signup","1","0","Signup - Validation","0"
"0","","1","Contest entry","1","0","Contests - Desktop Pick Slip","0"
"0","","0","Authentication","3","0","Login - Desktop Modal","0"
"0","","0","Navigation","3","0","Footer - age badge","0"
