"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"**Spec:** `data-verification/entries-history.spec.ts:50`

**Project:** Desktop · **Env:** staging · **Release:** release-44

**User:** default (qa***)

**Tags:** @data-verification @prod","9755","History cards and summary render the history API data","Desktop","2026-09-11","passed","2026-09-11","Data verification - history entries","","",""
"**Spec:** `contests/user-enter-contest.spec.ts:196`

**Project:** Mobile Chrome · **Env:** staging · **Release:** local

**User:** default (qa***)

**Tags:** @contests @mutates @money @slow","36648","Two contests submitted back to back both appear in My Entries","Mobile Chrome","2026-09-11","passed","2026-09-11","Contests - Enter Contest","","",""
"**Spec:** `stats/full-game-stat-selection.spec.ts:22`

**Project:** Desktop · **Env:** staging · **Release:** local

**User:** default (qa***)

**Tags:** @stats @prod","181","First stat stays highlighted by default across Full Game league tabs","Desktop","2026-09-11","skipped","2026-09-11","Stats - Full Game default selection","","",""
"**Spec:** `rewards/partner-rewards.spec.ts:27`

**Project:** Mobile Chrome · **Env:** staging · **Release:** local

**User:** default (qa***)

**Tags:** @rewards @prod","1468","Partner Rewards is the default tab, alongside a Promotions tab","Mobile Chrome","2026-09-11","passed","2026-09-11","Rewards - Partner Rewards","","",""
"**Spec:** `home/home-search.spec.ts:48`

**Project:** Desktop · **Env:** staging · **Release:** release-44

**User:** default (qa***)

**Tags:** @home @search @prod","14005","A common letter narrows the grid without emptying it","Desktop","2026-09-11","passed","2026-09-11","Home - Feed Search","","",""
"**Spec:** `data-verification/picks-grid.spec.ts:411`

**Project:** Desktop · **Env:** staging · **Release:** local

**User:** default (qa***)

**Tags:** @data-verification @prod","2903","Match selector lists every API match for the default league","Desktop","2026-09-11","skipped","2026-09-11","Data verification - picks grid","","",""
"**Spec:** `navigation/legal.spec.ts:27`

**Project:** Desktop · **Env:** staging · **Release:** release-44

**User:** default (qa***)

**Tags:** @navigation @legal @prod","13234","/rules renders the Game Rules PDF","Desktop","2026-09-11","passed","2026-09-11","Legal - policy documents","","",""
"**Spec:** `slip-persistence/slip-persistence.spec.ts:56`

**Project:** Mobile Chrome · **Env:** staging · **Release:** release-44

**User:** default (qa***)

**Tags:** @slipPersist @prod","20583","Slip persists through a Rewards tab round-trip","Mobile Chrome","2026-09-11","passed","2026-09-11","Slip persistence - navigation and reload","","",""
"**Spec:** `data-verification/player-detail-modal.spec.ts:23`

**Project:** Mobile Chrome · **Env:** staging · **Release:** release-44

**User:** default (qa***)

**Tags:** @data-verification @prod","16537","Expert-opinion modal renders the API's player data","Mobile Chrome","2026-09-11","passed","2026-09-11","Data verification - player detail modal","","",""
"**Spec:** `slip-persistence/slip-persistence.spec.ts:83`

**Project:** Desktop · **Env:** staging · **Release:** release-44

**User:** default (qa***)

**Tags:** @slipPersist @prod","42352","Slip persists through a hard page reload","Desktop","2026-09-11","passed","2026-09-11","Slip persistence - navigation and reload","","",""
"**Spec:** `navigation/shell.spec.ts:53`

**Project:** Mobile Chrome · **Env:** staging · **Release:** release-44

**User:** default (qa***)

**Tags:** @navigation @prod","4165","Unknown route renders the 404 page","Mobile Chrome","2026-09-11","passed","2026-09-11","Shell - system pages","","",""
"**Spec:** `navigation/footer-nav.spec.ts:41`

**Project:** Mobile Safari · **Env:** staging · **Release:** local

**User:** default (qa***)

**Tags:** @navigation @prod","2439","Rewards tab routes into /rewards and takes the indicator","Mobile Safari","2026-09-11","passed","2026-09-11","Bottom nav - tab routing and active indicator","","",""
