env=staging
project=Mobile Safari
release=local
build=local
sha=-
user=default (qa***)
spec=contests/user-enter-contest.spec.ts:60
retry=0
status=failed (expected passed)
lastUrl=https://staging.parlayplay.io/

+0.103s WARN  session[primary]: probe got a Cloudflare challenge — indeterminate, assuming alive
+1.956s INFO  contest: placing an entry {"pickCount":2,"entryAmount":3,"maxAttempts":5,"maxThrottleRetries":8}
+11.047s WARN  contest: pick pool exhausted on this stat tab {"attempt":1,"statIdx":0,"error":"Could not select 2 valid picks"}
+11.784s WARN  contest: rotating to the next stat tab after a rejection {"attempt":2,"statIdx":1,"lastError":"Could not select 2 valid picks"}
+23.394s WARN  contest: pick pool exhausted on this stat tab {"attempt":2,"statIdx":1,"error":"Could not select 2 valid picks"}
+24.218s WARN  contest: rotating to the next stat tab after a rejection {"attempt":3,"statIdx":2,"lastError":"Could not select 2 valid picks"}
+35.813s WARN  contest: pick pool exhausted on this stat tab {"attempt":3,"statIdx":2,"error":"Could not select 2 valid picks"}
+36.560s WARN  contest: rotating to the next stat tab after a rejection {"attempt":4,"statIdx":3,"lastError":"Could not select 2 valid picks"}
+48.389s WARN  contest: pick pool exhausted on this stat tab {"attempt":4,"statIdx":3,"error":"Could not select 2 valid picks"}
+49.163s WARN  contest: rotating to the next stat tab after a rejection {"attempt":5,"statIdx":4,"lastError":"Could not select 2 valid picks"}
+62.720s WARN  contest: pick pool exhausted on this stat tab {"attempt":5,"statIdx":4,"error":"Could not select 2 valid picks"}
+62.720s ERROR contest: giving up — could not place an entry {"maxAttempts":5,"throttleRetries":0,"lastError":"Could not select 2 valid picks"}
