"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"**Spec:** `data-verification/search.spec.ts:142`

**Project:** Mobile Safari · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @data-verification @prod","19193","Searching a team abbreviation shows that team's players","Mobile Safari","2026-09-23","skipped","2026-09-23","Data verification - feed search","","",""
"**Spec:** `data-verification/search.spec.ts:101`

**Project:** Desktop · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @data-verification @prod","834","Searching an API player's full name shows only matching cards","Desktop","2026-09-23","skipped","2026-09-23","Data verification - feed search","","",""
"**Spec:** `navigation/legal.spec.ts:27`

**Project:** Mobile Chrome · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @navigation @legal @prod","15514","/rules renders the Game Rules PDF","Mobile Chrome","2026-09-23","passed","2026-09-23","Legal - policy documents","","",""
"**Spec:** `navigation/footer-nav.spec.ts:23`

**Project:** Mobile Safari · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @navigation @prod","32802","Feed tab routes to /challenges/feed and takes the indicator","Mobile Safari","2026-09-23","passed","2026-09-23","Bottom nav - tab routing and active indicator","","",""
"**Spec:** `entries/entry-card.spec.ts:134`

**Project:** Mobile Safari · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @entries @prod","33103","Live entries surface a Live indicator","Mobile Safari","2026-09-23","skipped","2026-09-23","My Entries - entry card","","",""
"**Spec:** `auth/login.spec.ts:90`

**Project:** Desktop · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)","10158","User lands on home after a successful login","Desktop","2026-09-23","passed","2026-09-23","Login - Valid Credentials","","",""
"**Spec:** `entries/entry-card.spec.ts:39`

**Project:** Mobile Chrome · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @entries @prod","21024","Active card shows the entry amount, payout and Insured/All In multiplier","Mobile Chrome","2026-09-23","passed","2026-09-23","My Entries - entry card","","",""
"**Spec:** `navigation/shell.spec.ts:80`

**Project:** Mobile Chrome · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @navigation @prod","10132","?coupon and ?btag are stored as the referral cookies","Mobile Chrome","2026-09-23","passed","2026-09-23","Shell - system pages","","",""
"**Spec:** `navigation/legal.spec.ts:27`

**Project:** Desktop · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @navigation @legal @prod","14076","/privacy-policy renders the Privacy Policy PDF","Desktop","2026-09-23","passed","2026-09-23","Legal - policy documents","","",""
"**Spec:** `auth/login.spec.ts:78`

**Project:** Desktop · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @smoke @prod","6738","User can log in with a valid email","Desktop","2026-09-23","passed","2026-09-23","Login - Valid Credentials","","",""
"**Spec:** `entries/entries.spec.ts:38`

**Project:** Mobile Safari · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @entries","35425","Active tab shows at most one page of entry cards, or the no-data state","Mobile Safari","2026-09-23","passed","2026-09-23","My Entries - Active and History","","",""
"**Spec:** `navigation/legal.spec.ts:27`

**Project:** Mobile Safari · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @navigation @legal @prod","42840","/terms renders the Terms Of Service PDF","Mobile Safari","2026-09-23","passed","2026-09-23","Legal - policy documents","","",""
"**Spec:** `data-verification/search.spec.ts:142`

**Project:** Desktop · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @data-verification @prod","744","Searching a team abbreviation shows that team's players","Desktop","2026-09-23","skipped","2026-09-23","Data verification - feed search","","",""
"**Spec:** `packs/pack-detail.spec.ts:64`

**Project:** Mobile Chrome · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @packs @staff","16356","Quantity stepper is bounded at 1 and scales the Buy price","Mobile Chrome","2026-09-23","skipped","2026-09-23","Packs - pack detail","","",""
"**Spec:** `navigation/top-nav-desktop.spec.ts:65`

**Project:** Desktop · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @desktop @navigation @prod","38122","Track Picks routes to pending and stays active on history","Desktop","2026-09-23","passed","2026-09-23","Desktop top nav - routing and wallet pill","","",""
